Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
3DE-CAD-00001,3DEXPERIENCE,cad,Approve 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-CAD-00002,3DEXPERIENCE,cad,Clone 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-CAD-00003,3DEXPERIENCE,cad,Escalate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00004,3DEXPERIENCE,cad,Update 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00005,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-CAD-00006,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00007,3DEXPERIENCE,cad,Approve 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-CAD-00008,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-CAD-00009,3DEXPERIENCE,cad,Submit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-CAD-00010,3DEXPERIENCE,cad,Delete 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00011,3DEXPERIENCE,cad,Escalate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-CAD-00012,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Low
3DE-CAD-00013,3DEXPERIENCE,cad,Update 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-CAD-00014,3DEXPERIENCE,cad,Edit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-CAD-00015,3DEXPERIENCE,cad,Search 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-CAD-00016,3DEXPERIENCE,cad,Edit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-CAD-00017,3DEXPERIENCE,cad,Delete 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-CAD-00018,3DEXPERIENCE,cad,Submit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Low
3DE-CAD-00019,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00020,3DEXPERIENCE,cad,Edit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-CAD-00021,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00022,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-CAD-00023,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-CAD-00024,3DEXPERIENCE,cad,Search 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-CAD-00025,3DEXPERIENCE,cad,Archive 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-CAD-00026,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00027,3DEXPERIENCE,cad,Restore 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00028,3DEXPERIENCE,cad,Escalate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-CAD-00029,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-CAD-00030,3DEXPERIENCE,cad,Approve 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-CAD-00031,3DEXPERIENCE,cad,Restore 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Low
3DE-CAD-00032,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00033,3DEXPERIENCE,cad,Delete 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00034,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00035,3DEXPERIENCE,cad,Escalate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00036,3DEXPERIENCE,cad,Restore 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-CAD-00037,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00038,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00039,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-CAD-00040,3DEXPERIENCE,cad,Escalate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-CAD-00041,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-CAD-00042,3DEXPERIENCE,cad,Submit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-CAD-00043,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-CAD-00044,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-CAD-00045,3DEXPERIENCE,cad,Delete 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00046,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-CAD-00047,3DEXPERIENCE,cad,Archive 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Low
3DE-CAD-00048,3DEXPERIENCE,cad,Submit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-CAD-00049,3DEXPERIENCE,cad,Update 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00050,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-CAD-00051,3DEXPERIENCE,cad,Update 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00052,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00053,3DEXPERIENCE,cad,Create 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Low
3DE-CAD-00054,3DEXPERIENCE,cad,Approve 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-CAD-00055,3DEXPERIENCE,cad,Route 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00056,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-CAD-00057,3DEXPERIENCE,cad,Archive 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00058,3DEXPERIENCE,cad,Archive 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-CAD-00059,3DEXPERIENCE,cad,Reject 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-CAD-00060,3DEXPERIENCE,cad,Update 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-CAD-00061,3DEXPERIENCE,cad,Search 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-CAD-00062,3DEXPERIENCE,cad,Restore 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-CAD-00063,3DEXPERIENCE,cad,Approve 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-CAD-00064,3DEXPERIENCE,cad,Submit 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-CAD-00065,3DEXPERIENCE,cad,Restore 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-CAD-00066,3DEXPERIENCE,cad,Validate 3DEXPERIENCE cad,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
