Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
3DE-MAN-00001,3DEXPERIENCE,manufacturing,Update 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00002,3DEXPERIENCE,manufacturing,Search 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-MAN-00003,3DEXPERIENCE,manufacturing,Escalate 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-MAN-00004,3DEXPERIENCE,manufacturing,Approve 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-MAN-00005,3DEXPERIENCE,manufacturing,Approve 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00006,3DEXPERIENCE,manufacturing,Create 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00007,3DEXPERIENCE,manufacturing,Edit 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00008,3DEXPERIENCE,manufacturing,Route 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-MAN-00009,3DEXPERIENCE,manufacturing,Search 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00010,3DEXPERIENCE,manufacturing,Edit 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00011,3DEXPERIENCE,manufacturing,Update 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-MAN-00012,3DEXPERIENCE,manufacturing,Edit 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-MAN-00013,3DEXPERIENCE,manufacturing,Escalate 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00014,3DEXPERIENCE,manufacturing,Archive 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-MAN-00015,3DEXPERIENCE,manufacturing,Reject 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-MAN-00016,3DEXPERIENCE,manufacturing,Clone 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00017,3DEXPERIENCE,manufacturing,Reject 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-MAN-00018,3DEXPERIENCE,manufacturing,Update 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-MAN-00019,3DEXPERIENCE,manufacturing,Restore 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-MAN-00020,3DEXPERIENCE,manufacturing,Reject 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-MAN-00021,3DEXPERIENCE,manufacturing,Search 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-MAN-00022,3DEXPERIENCE,manufacturing,Update 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-MAN-00023,3DEXPERIENCE,manufacturing,Create 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-MAN-00024,3DEXPERIENCE,manufacturing,Submit 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-MAN-00025,3DEXPERIENCE,manufacturing,Clone 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-MAN-00026,3DEXPERIENCE,manufacturing,Reject 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-MAN-00027,3DEXPERIENCE,manufacturing,Route 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-MAN-00028,3DEXPERIENCE,manufacturing,Approve 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-MAN-00029,3DEXPERIENCE,manufacturing,Restore 3DEXPERIENCE manufacturing,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
