Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
3DE-PLM-00001,3DEXPERIENCE,plm,Clone 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-PLM-00002,3DEXPERIENCE,plm,Approve 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-PLM-00003,3DEXPERIENCE,plm,Reject 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-PLM-00004,3DEXPERIENCE,plm,Escalate 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-PLM-00005,3DEXPERIENCE,plm,Delete 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-PLM-00006,3DEXPERIENCE,plm,Restore 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-PLM-00007,3DEXPERIENCE,plm,Validate 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-PLM-00008,3DEXPERIENCE,plm,Search 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-PLM-00009,3DEXPERIENCE,plm,Clone 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Medium
3DE-PLM-00010,3DEXPERIENCE,plm,Escalate 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-PLM-00011,3DEXPERIENCE,plm,Route 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-PLM-00012,3DEXPERIENCE,plm,Create 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-PLM-00013,3DEXPERIENCE,plm,Reject 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-PLM-00014,3DEXPERIENCE,plm,Submit 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-PLM-00015,3DEXPERIENCE,plm,Clone 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-PLM-00016,3DEXPERIENCE,plm,Clone 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-PLM-00017,3DEXPERIENCE,plm,Validate 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-PLM-00018,3DEXPERIENCE,plm,Search 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-PLM-00019,3DEXPERIENCE,plm,Search 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-PLM-00020,3DEXPERIENCE,plm,Restore 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-PLM-00021,3DEXPERIENCE,plm,Validate 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-PLM-00022,3DEXPERIENCE,plm,Reject 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-PLM-00023,3DEXPERIENCE,plm,Reject 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-PLM-00024,3DEXPERIENCE,plm,Reject 3DEXPERIENCE plm,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
