Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
3DE-SIM-00001,3DEXPERIENCE,simulation,Restore 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-SIM-00002,3DEXPERIENCE,simulation,Clone 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-SIM-00003,3DEXPERIENCE,simulation,Approve 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-SIM-00004,3DEXPERIENCE,simulation,Edit 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-SIM-00005,3DEXPERIENCE,simulation,Clone 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-SIM-00006,3DEXPERIENCE,simulation,Delete 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Low
3DE-SIM-00007,3DEXPERIENCE,simulation,Clone 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
3DE-SIM-00008,3DEXPERIENCE,simulation,Search 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,High
3DE-SIM-00009,3DEXPERIENCE,simulation,Create 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-SIM-00010,3DEXPERIENCE,simulation,Validate 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-SIM-00011,3DEXPERIENCE,simulation,Route 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,High
3DE-SIM-00012,3DEXPERIENCE,simulation,Escalate 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-SIM-00013,3DEXPERIENCE,simulation,Approve 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Low
3DE-SIM-00014,3DEXPERIENCE,simulation,Reject 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,Medium
3DE-SIM-00015,3DEXPERIENCE,simulation,Escalate 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-SIM-00016,3DEXPERIENCE,simulation,Update 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-SIM-00017,3DEXPERIENCE,simulation,Clone 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Initiate integration > check queue > confirm completion,Success,Low
3DE-SIM-00018,3DEXPERIENCE,simulation,Restore 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-SIM-00019,3DEXPERIENCE,simulation,Archive 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,Medium
3DE-SIM-00020,3DEXPERIENCE,simulation,Create 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-SIM-00021,3DEXPERIENCE,simulation,Update 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Submit transaction > sync system > reconcile report,Success,High
3DE-SIM-00022,3DEXPERIENCE,simulation,Clone 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Create record > route approval > verify status,Success,High
3DE-SIM-00023,3DEXPERIENCE,simulation,Search 3DEXPERIENCE simulation,3DEXPERIENCE test data ready,Open module > perform action > validate result,Success,Medium
