Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADP-BEN-00001,ADPWorkforceNow,benefits,Update ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-BEN-00002,ADPWorkforceNow,benefits,Search ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-BEN-00003,ADPWorkforceNow,benefits,Create ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-BEN-00004,ADPWorkforceNow,benefits,Search ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-BEN-00005,ADPWorkforceNow,benefits,Delete ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-BEN-00006,ADPWorkforceNow,benefits,Update ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-BEN-00007,ADPWorkforceNow,benefits,Validate ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-BEN-00008,ADPWorkforceNow,benefits,Edit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-BEN-00009,ADPWorkforceNow,benefits,Route ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-BEN-00010,ADPWorkforceNow,benefits,Restore ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-BEN-00011,ADPWorkforceNow,benefits,Edit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-BEN-00012,ADPWorkforceNow,benefits,Approve ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-BEN-00013,ADPWorkforceNow,benefits,Delete ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-BEN-00014,ADPWorkforceNow,benefits,Edit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-BEN-00015,ADPWorkforceNow,benefits,Route ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-BEN-00016,ADPWorkforceNow,benefits,Escalate ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-BEN-00017,ADPWorkforceNow,benefits,Approve ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-BEN-00018,ADPWorkforceNow,benefits,Restore ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Medium
ADP-BEN-00019,ADPWorkforceNow,benefits,Approve ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-BEN-00020,ADPWorkforceNow,benefits,Edit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-BEN-00021,ADPWorkforceNow,benefits,Archive ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-BEN-00022,ADPWorkforceNow,benefits,Escalate ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-BEN-00023,ADPWorkforceNow,benefits,Search ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-BEN-00024,ADPWorkforceNow,benefits,Submit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADP-BEN-00025,ADPWorkforceNow,benefits,Validate ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-BEN-00026,ADPWorkforceNow,benefits,Delete ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-BEN-00027,ADPWorkforceNow,benefits,Delete ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-BEN-00028,ADPWorkforceNow,benefits,Delete ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-BEN-00029,ADPWorkforceNow,benefits,Submit ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-BEN-00030,ADPWorkforceNow,benefits,Archive ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-BEN-00031,ADPWorkforceNow,benefits,Escalate ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-BEN-00032,ADPWorkforceNow,benefits,Restore ADPWorkforceNow benefits,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
