Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADP-COR-00001,ADPWorkforceNow,core_hr,Edit ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-COR-00002,ADPWorkforceNow,core_hr,Restore ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00003,ADPWorkforceNow,core_hr,Clone ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-COR-00004,ADPWorkforceNow,core_hr,Approve ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00005,ADPWorkforceNow,core_hr,Delete ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-COR-00006,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00007,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-COR-00008,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00009,ADPWorkforceNow,core_hr,Validate ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-COR-00010,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-COR-00011,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-COR-00012,ADPWorkforceNow,core_hr,Edit ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00013,ADPWorkforceNow,core_hr,Archive ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-COR-00014,ADPWorkforceNow,core_hr,Update ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADP-COR-00015,ADPWorkforceNow,core_hr,Clone ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-COR-00016,ADPWorkforceNow,core_hr,Reject ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-COR-00017,ADPWorkforceNow,core_hr,Validate ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-COR-00018,ADPWorkforceNow,core_hr,Clone ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-COR-00019,ADPWorkforceNow,core_hr,Create ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-COR-00020,ADPWorkforceNow,core_hr,Clone ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-COR-00021,ADPWorkforceNow,core_hr,Reject ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-COR-00022,ADPWorkforceNow,core_hr,Clone ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-COR-00023,ADPWorkforceNow,core_hr,Edit ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-COR-00024,ADPWorkforceNow,core_hr,Restore ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-COR-00025,ADPWorkforceNow,core_hr,Reject ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-COR-00026,ADPWorkforceNow,core_hr,Delete ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-COR-00027,ADPWorkforceNow,core_hr,Delete ADPWorkforceNow core_hr,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
