Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADP-PAY-00001,ADPWorkforceNow,payroll,Submit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00002,ADPWorkforceNow,payroll,Reject ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-PAY-00003,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00004,ADPWorkforceNow,payroll,Create ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-PAY-00005,ADPWorkforceNow,payroll,Clone ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00006,ADPWorkforceNow,payroll,Search ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00007,ADPWorkforceNow,payroll,Approve ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADP-PAY-00008,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00009,ADPWorkforceNow,payroll,Escalate ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00010,ADPWorkforceNow,payroll,Approve ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-PAY-00011,ADPWorkforceNow,payroll,Route ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00012,ADPWorkforceNow,payroll,Delete ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00013,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-PAY-00014,ADPWorkforceNow,payroll,Edit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-PAY-00015,ADPWorkforceNow,payroll,Delete ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-PAY-00016,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-PAY-00017,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00018,ADPWorkforceNow,payroll,Create ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00019,ADPWorkforceNow,payroll,Archive ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-PAY-00020,ADPWorkforceNow,payroll,Submit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-PAY-00021,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00022,ADPWorkforceNow,payroll,Submit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00023,ADPWorkforceNow,payroll,Validate ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00024,ADPWorkforceNow,payroll,Route ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00025,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00026,ADPWorkforceNow,payroll,Search ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00027,ADPWorkforceNow,payroll,Clone ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-PAY-00028,ADPWorkforceNow,payroll,Edit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00029,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-PAY-00030,ADPWorkforceNow,payroll,Reject ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00031,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-PAY-00032,ADPWorkforceNow,payroll,Validate ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-PAY-00033,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-PAY-00034,ADPWorkforceNow,payroll,Create ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-PAY-00035,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-PAY-00036,ADPWorkforceNow,payroll,Archive ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00037,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00038,ADPWorkforceNow,payroll,Escalate ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00039,ADPWorkforceNow,payroll,Submit ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00040,ADPWorkforceNow,payroll,Restore ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00041,ADPWorkforceNow,payroll,Clone ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00042,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-PAY-00043,ADPWorkforceNow,payroll,Archive ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-PAY-00044,ADPWorkforceNow,payroll,Escalate ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-PAY-00045,ADPWorkforceNow,payroll,Route ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-PAY-00046,ADPWorkforceNow,payroll,Clone ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-PAY-00047,ADPWorkforceNow,payroll,Clone ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-PAY-00048,ADPWorkforceNow,payroll,Update ADPWorkforceNow payroll,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
