Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADP-REC-00001,ADPWorkforceNow,recruiting,Search ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-REC-00002,ADPWorkforceNow,recruiting,Reject ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-REC-00003,ADPWorkforceNow,recruiting,Search ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-REC-00004,ADPWorkforceNow,recruiting,Delete ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-REC-00005,ADPWorkforceNow,recruiting,Clone ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-REC-00006,ADPWorkforceNow,recruiting,Route ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-REC-00007,ADPWorkforceNow,recruiting,Restore ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-REC-00008,ADPWorkforceNow,recruiting,Search ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-REC-00009,ADPWorkforceNow,recruiting,Edit ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-REC-00010,ADPWorkforceNow,recruiting,Clone ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-REC-00011,ADPWorkforceNow,recruiting,Approve ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-REC-00012,ADPWorkforceNow,recruiting,Delete ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-REC-00013,ADPWorkforceNow,recruiting,Approve ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-REC-00014,ADPWorkforceNow,recruiting,Submit ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Medium
ADP-REC-00015,ADPWorkforceNow,recruiting,Validate ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-REC-00016,ADPWorkforceNow,recruiting,Create ADPWorkforceNow recruiting,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
