Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADP-TAL-00001,ADPWorkforceNow,talent,Approve ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Medium
ADP-TAL-00002,ADPWorkforceNow,talent,Archive ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-TAL-00003,ADPWorkforceNow,talent,Route ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-TAL-00004,ADPWorkforceNow,talent,Escalate ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-TAL-00005,ADPWorkforceNow,talent,Clone ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
ADP-TAL-00006,ADPWorkforceNow,talent,Update ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-TAL-00007,ADPWorkforceNow,talent,Clone ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,High
ADP-TAL-00008,ADPWorkforceNow,talent,Update ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-TAL-00009,ADPWorkforceNow,talent,Search ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADP-TAL-00010,ADPWorkforceNow,talent,Restore ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-TAL-00011,ADPWorkforceNow,talent,Submit ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-TAL-00012,ADPWorkforceNow,talent,Create ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADP-TAL-00013,ADPWorkforceNow,talent,Route ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-TAL-00014,ADPWorkforceNow,talent,Clone ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-TAL-00015,ADPWorkforceNow,talent,Edit ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Medium
ADP-TAL-00016,ADPWorkforceNow,talent,Archive ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-TAL-00017,ADPWorkforceNow,talent,Delete ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Low
ADP-TAL-00018,ADPWorkforceNow,talent,Escalate ADPWorkforceNow talent,ADPWorkforceNow test data ready,Open module > perform action > validate result,Success,Medium
ADP-TAL-00019,ADPWorkforceNow,talent,Escalate ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,Low
ADP-TAL-00020,ADPWorkforceNow,talent,Approve ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-TAL-00021,ADPWorkforceNow,talent,Clone ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
ADP-TAL-00022,ADPWorkforceNow,talent,Update ADPWorkforceNow talent,ADPWorkforceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADP-TAL-00023,ADPWorkforceNow,talent,Clone ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-TAL-00024,ADPWorkforceNow,talent,Create ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADP-TAL-00025,ADPWorkforceNow,talent,Submit ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-TAL-00026,ADPWorkforceNow,talent,Update ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADP-TAL-00027,ADPWorkforceNow,talent,Validate ADPWorkforceNow talent,ADPWorkforceNow test data ready,Create record > route approval > verify status,Success,High
ADP-TAL-00028,ADPWorkforceNow,talent,Restore ADPWorkforceNow talent,ADPWorkforceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
