Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADO-JOU-00001,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00002,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00003,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00004,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00005,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00006,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00007,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADO-JOU-00008,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00009,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00010,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00011,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADO-JOU-00012,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00013,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00014,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00015,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00016,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00017,AdobeExperienceCloud,journey_optimizer,Create AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00018,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00019,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00020,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00021,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00022,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00023,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00024,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00025,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00026,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00027,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00028,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00029,AdobeExperienceCloud,journey_optimizer,Restore AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00030,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00031,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00032,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00033,AdobeExperienceCloud,journey_optimizer,Approve AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00034,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00035,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADO-JOU-00036,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00037,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00038,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00039,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00040,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00041,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00042,AdobeExperienceCloud,journey_optimizer,Create AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00043,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00044,AdobeExperienceCloud,journey_optimizer,Approve AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00045,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00046,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADO-JOU-00047,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00048,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00049,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-JOU-00050,AdobeExperienceCloud,journey_optimizer,Approve AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-JOU-00051,AdobeExperienceCloud,journey_optimizer,Create AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00052,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00053,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00054,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00055,AdobeExperienceCloud,journey_optimizer,Delete AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00056,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00057,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADO-JOU-00058,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADO-JOU-00059,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00060,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00061,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00062,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-JOU-00063,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00064,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00065,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00066,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00067,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00068,AdobeExperienceCloud,journey_optimizer,Create AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00069,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADO-JOU-00070,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00071,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADO-JOU-00072,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00073,AdobeExperienceCloud,journey_optimizer,Edit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00074,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,High
ADO-JOU-00075,AdobeExperienceCloud,journey_optimizer,Reject AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00076,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00077,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00078,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00079,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00080,AdobeExperienceCloud,journey_optimizer,Delete AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00081,AdobeExperienceCloud,journey_optimizer,Validate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-JOU-00082,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-JOU-00083,AdobeExperienceCloud,journey_optimizer,Update AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-JOU-00084,AdobeExperienceCloud,journey_optimizer,Route AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00085,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-JOU-00086,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00087,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-JOU-00088,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-JOU-00089,AdobeExperienceCloud,journey_optimizer,Escalate AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
ADO-JOU-00090,AdobeExperienceCloud,journey_optimizer,Search AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-JOU-00091,AdobeExperienceCloud,journey_optimizer,Submit AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00092,AdobeExperienceCloud,journey_optimizer,Clone AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-JOU-00093,AdobeExperienceCloud,journey_optimizer,Approve AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,High
ADO-JOU-00094,AdobeExperienceCloud,journey_optimizer,Delete AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-JOU-00095,AdobeExperienceCloud,journey_optimizer,Archive AdobeExperienceCloud journey_optimizer,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Low
