Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ANA-ACC-00001,Anaplan,access_control,Create Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-ACC-00002,Anaplan,access_control,Restore Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-ACC-00003,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-ACC-00004,Anaplan,access_control,Archive Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-ACC-00005,Anaplan,access_control,Clone Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-ACC-00006,Anaplan,access_control,Escalate Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-ACC-00007,Anaplan,access_control,Update Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-ACC-00008,Anaplan,access_control,Create Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-ACC-00009,Anaplan,access_control,Restore Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-ACC-00010,Anaplan,access_control,Restore Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-ACC-00011,Anaplan,access_control,Delete Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-ACC-00012,Anaplan,access_control,Escalate Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-ACC-00013,Anaplan,access_control,Archive Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-ACC-00014,Anaplan,access_control,Create Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-ACC-00015,Anaplan,access_control,Approve Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-ACC-00016,Anaplan,access_control,Validate Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-ACC-00017,Anaplan,access_control,Update Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-ACC-00018,Anaplan,access_control,Create Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-ACC-00019,Anaplan,access_control,Delete Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-ACC-00020,Anaplan,access_control,Approve Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-ACC-00021,Anaplan,access_control,Update Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-ACC-00022,Anaplan,access_control,Archive Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-ACC-00023,Anaplan,access_control,Route Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-ACC-00024,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-ACC-00025,Anaplan,access_control,Update Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-ACC-00026,Anaplan,access_control,Archive Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-ACC-00027,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-ACC-00028,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-ACC-00029,Anaplan,access_control,Escalate Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-ACC-00030,Anaplan,access_control,Escalate Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-ACC-00031,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-ACC-00032,Anaplan,access_control,Submit Anaplan access_control,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-ACC-00033,Anaplan,access_control,Create Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-ACC-00034,Anaplan,access_control,Archive Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-ACC-00035,Anaplan,access_control,Reject Anaplan access_control,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-ACC-00036,Anaplan,access_control,Delete Anaplan access_control,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-ACC-00037,Anaplan,access_control,Delete Anaplan access_control,Anaplan test data ready,Create record > route approval > verify status,Success,Low
