Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ANA-MOD-00001,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00002,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00003,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00004,Anaplan,models,Edit Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-MOD-00005,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00006,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00007,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00008,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00009,Anaplan,models,Update Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00010,Anaplan,models,Update Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00011,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00012,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00013,Anaplan,models,Update Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00014,Anaplan,models,Restore Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00015,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00016,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00017,Anaplan,models,Clone Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00018,Anaplan,models,Delete Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-MOD-00019,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00020,Anaplan,models,Update Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-MOD-00021,Anaplan,models,Edit Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00022,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00023,Anaplan,models,Search Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00024,Anaplan,models,Restore Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00025,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00026,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00027,Anaplan,models,Search Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-MOD-00028,Anaplan,models,Create Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00029,Anaplan,models,Restore Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00030,Anaplan,models,Delete Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00031,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-MOD-00032,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00033,Anaplan,models,Search Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00034,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00035,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00036,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00037,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00038,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00039,Anaplan,models,Update Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00040,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00041,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00042,Anaplan,models,Create Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00043,Anaplan,models,Update Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00044,Anaplan,models,Clone Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00045,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00046,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-MOD-00047,Anaplan,models,Update Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00048,Anaplan,models,Update Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-MOD-00049,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00050,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00051,Anaplan,models,Delete Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00052,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00053,Anaplan,models,Update Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00054,Anaplan,models,Clone Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00055,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-MOD-00056,Anaplan,models,Restore Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00057,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00058,Anaplan,models,Delete Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00059,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00060,Anaplan,models,Search Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-MOD-00061,Anaplan,models,Clone Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-MOD-00062,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-MOD-00063,Anaplan,models,Search Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00064,Anaplan,models,Delete Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00065,Anaplan,models,Update Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00066,Anaplan,models,Update Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00067,Anaplan,models,Submit Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00068,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00069,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00070,Anaplan,models,Create Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00071,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00072,Anaplan,models,Reject Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00073,Anaplan,models,Archive Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-MOD-00074,Anaplan,models,Route Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-MOD-00075,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-MOD-00076,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00077,Anaplan,models,Validate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-MOD-00078,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00079,Anaplan,models,Escalate Anaplan models,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-MOD-00080,Anaplan,models,Approve Anaplan models,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-MOD-00081,Anaplan,models,Update Anaplan models,Anaplan test data ready,Create record > route approval > verify status,Success,Low
