Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ANA-SHE-00001,Anaplan,sheets,Approve Anaplan sheets,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-SHE-00002,Anaplan,sheets,Approve Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-SHE-00003,Anaplan,sheets,Edit Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-SHE-00004,Anaplan,sheets,Delete Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-SHE-00005,Anaplan,sheets,Escalate Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-SHE-00006,Anaplan,sheets,Archive Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-SHE-00007,Anaplan,sheets,Search Anaplan sheets,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-SHE-00008,Anaplan,sheets,Escalate Anaplan sheets,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-SHE-00009,Anaplan,sheets,Escalate Anaplan sheets,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-SHE-00010,Anaplan,sheets,Reject Anaplan sheets,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-SHE-00011,Anaplan,sheets,Escalate Anaplan sheets,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-SHE-00012,Anaplan,sheets,Edit Anaplan sheets,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-SHE-00013,Anaplan,sheets,Clone Anaplan sheets,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-SHE-00014,Anaplan,sheets,Approve Anaplan sheets,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-SHE-00015,Anaplan,sheets,Edit Anaplan sheets,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
