Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ANA-WOR-00001,Anaplan,workflow,Archive Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00002,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00003,Anaplan,workflow,Update Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00004,Anaplan,workflow,Archive Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00005,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00006,Anaplan,workflow,Create Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00007,Anaplan,workflow,Submit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00008,Anaplan,workflow,Escalate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00009,Anaplan,workflow,Create Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00010,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00011,Anaplan,workflow,Create Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-WOR-00012,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00013,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00014,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00015,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00016,Anaplan,workflow,Submit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00017,Anaplan,workflow,Escalate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00018,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-WOR-00019,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00020,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00021,Anaplan,workflow,Archive Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00022,Anaplan,workflow,Escalate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00023,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00024,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00025,Anaplan,workflow,Archive Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00026,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00027,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-WOR-00028,Anaplan,workflow,Update Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-WOR-00029,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-WOR-00030,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00031,Anaplan,workflow,Clone Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00032,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00033,Anaplan,workflow,Submit Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00034,Anaplan,workflow,Escalate Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00035,Anaplan,workflow,Create Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,High
ANA-WOR-00036,Anaplan,workflow,Route Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00037,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00038,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00039,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00040,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00041,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-WOR-00042,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00043,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00044,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-WOR-00045,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00046,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00047,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00048,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00049,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00050,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00051,Anaplan,workflow,Edit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00052,Anaplan,workflow,Clone Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00053,Anaplan,workflow,Edit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00054,Anaplan,workflow,Search Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00055,Anaplan,workflow,Edit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00056,Anaplan,workflow,Submit Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ANA-WOR-00057,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00058,Anaplan,workflow,Clone Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00059,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00060,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00061,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00062,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
ANA-WOR-00063,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00064,Anaplan,workflow,Validate Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00065,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Low
ANA-WOR-00066,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-WOR-00067,Anaplan,workflow,Route Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,Low
ANA-WOR-00068,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Initiate integration > check queue > confirm completion,Success,High
ANA-WOR-00069,Anaplan,workflow,Edit Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-WOR-00070,Anaplan,workflow,Create Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00071,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,High
ANA-WOR-00072,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Low
ANA-WOR-00073,Anaplan,workflow,Reject Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ANA-WOR-00074,Anaplan,workflow,Approve Anaplan workflow,Anaplan test data ready,Open module > perform action > validate result,Success,Medium
ANA-WOR-00075,Anaplan,workflow,Restore Anaplan workflow,Anaplan test data ready,Create record > route approval > verify status,Success,Medium
ANA-WOR-00076,Anaplan,workflow,Delete Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,Low
ANA-WOR-00077,Anaplan,workflow,Escalate Anaplan workflow,Anaplan test data ready,Submit transaction > sync system > reconcile report,Success,High
