Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-NOT-00001,Android,notifications,notifications,Consumer,Push -> Open -> Verify,Accessibility,Update Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00002,Android,notifications,notifications,Healthcare,Push -> Open -> Verify,Functional,Archive Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00003,Android,notifications,notifications,Healthcare,Offline -> Sync -> Resolve,Performance,Delete Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00004,Android,notifications,notifications,Healthcare,Push -> Open -> Verify,Regression,Search Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00005,Android,notifications,notifications,Consumer,Permission -> Action -> Persist,Security,Archive Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00006,Android,notifications,notifications,Enterprise,Permission -> Action -> Persist,Security,Restore Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00007,Android,notifications,notifications,Healthcare,Push -> Open -> Verify,Accessibility,Update Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00008,Android,notifications,notifications,Healthcare,Offline -> Sync -> Resolve,Performance,Search Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00009,Android,notifications,notifications,Consumer,Offline -> Sync -> Resolve,Functional,Delete Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00010,Android,notifications,notifications,Healthcare,Permission -> Action -> Persist,UI,Edit Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00011,Android,notifications,notifications,Consumer,Push -> Open -> Verify,Integration,Create Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00012,Android,notifications,notifications,Healthcare,Push -> Open -> Verify,Functional,Edit Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00013,Android,notifications,notifications,FinTech,Push -> Open -> Verify,Integration,Restore Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00014,Android,notifications,notifications,FinTech,Offline -> Sync -> Resolve,Accessibility,Delete Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00015,Android,notifications,notifications,Enterprise,Push -> Open -> Verify,Functional,Clone Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00016,Android,notifications,notifications,FinTech,Launch -> Authenticate -> Use -> Logout,Accessibility,Validate Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00017,Android,notifications,notifications,Consumer,Permission -> Action -> Persist,Security,Edit Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00018,Android,notifications,notifications,FinTech,Offline -> Sync -> Resolve,Security,Route Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00019,Android,notifications,notifications,Consumer,Permission -> Action -> Persist,Regression,Search Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00020,Android,notifications,notifications,Consumer,Push -> Open -> Verify,UI,Restore Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00021,Android,notifications,notifications,Consumer,Permission -> Action -> Persist,Regression,Edit Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-NOT-00022,Android,notifications,notifications,FinTech,Offline -> Sync -> Resolve,Regression,Search Android notifications,Android access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
