Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-PER-00001,Android,performance,performance,Consumer,Launch -> Authenticate -> Use -> Logout,Regression,Clone Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00002,Android,performance,performance,FinTech,Offline -> Sync -> Resolve,Accessibility,Create Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00003,Android,performance,performance,Enterprise,Launch -> Authenticate -> Use -> Logout,Functional,Create Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00004,Android,performance,performance,Consumer,Push -> Open -> Verify,Security,Restore Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00005,Android,performance,performance,Enterprise,Offline -> Sync -> Resolve,Performance,Submit Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00006,Android,performance,performance,Enterprise,Permission -> Action -> Persist,Security,Route Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00007,Android,performance,performance,Consumer,Offline -> Sync -> Resolve,UI,Delete Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00008,Android,performance,performance,Consumer,Push -> Open -> Verify,Performance,Create Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00009,Android,performance,performance,Healthcare,Offline -> Sync -> Resolve,Integration,Escalate Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00010,Android,performance,performance,Healthcare,Permission -> Action -> Persist,Integration,Delete Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00011,Android,performance,performance,Healthcare,Push -> Open -> Verify,Functional,Validate Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00012,Android,performance,performance,Healthcare,Offline -> Sync -> Resolve,Accessibility,Restore Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00013,Android,performance,performance,Enterprise,Permission -> Action -> Persist,Functional,Reject Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00014,Android,performance,performance,Consumer,Offline -> Sync -> Resolve,UI,Escalate Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00015,Android,performance,performance,Healthcare,Permission -> Action -> Persist,Regression,Restore Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00016,Android,performance,performance,Healthcare,Permission -> Action -> Persist,UI,Submit Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00017,Android,performance,performance,Healthcare,Permission -> Action -> Persist,Functional,Archive Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00018,Android,performance,performance,Enterprise,Permission -> Action -> Persist,Performance,Search Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00019,Android,performance,performance,Consumer,Launch -> Authenticate -> Use -> Logout,Regression,Edit Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00020,Android,performance,performance,Consumer,Offline -> Sync -> Resolve,Integration,Reject Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00021,Android,performance,performance,Consumer,Offline -> Sync -> Resolve,Performance,Restore Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00022,Android,performance,performance,FinTech,Offline -> Sync -> Resolve,Functional,Escalate Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00023,Android,performance,performance,Consumer,Offline -> Sync -> Resolve,Accessibility,Escalate Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00024,Android,performance,performance,Healthcare,Permission -> Action -> Persist,UI,Delete Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00025,Android,performance,performance,FinTech,Push -> Open -> Verify,UI,Route Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00026,Android,performance,performance,FinTech,Offline -> Sync -> Resolve,UI,Delete Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PER-00027,Android,performance,performance,Consumer,Permission -> Action -> Persist,Functional,Search Android performance,Android access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
