Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-PRO-00001,Android,profile,profile,FinTech,Push -> Open -> Verify,Functional,Escalate Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00002,Android,profile,profile,FinTech,Permission -> Action -> Persist,Regression,Edit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00003,Android,profile,profile,Consumer,Push -> Open -> Verify,UI,Create Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00004,Android,profile,profile,Consumer,Permission -> Action -> Persist,Functional,Delete Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00005,Android,profile,profile,Enterprise,Permission -> Action -> Persist,Security,Edit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00006,Android,profile,profile,Enterprise,Push -> Open -> Verify,Accessibility,Archive Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00007,Android,profile,profile,Healthcare,Permission -> Action -> Persist,UI,Create Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00008,Android,profile,profile,FinTech,Permission -> Action -> Persist,Integration,Submit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00009,Android,profile,profile,Healthcare,Push -> Open -> Verify,Performance,Submit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00010,Android,profile,profile,Enterprise,Launch -> Authenticate -> Use -> Logout,UI,Edit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00011,Android,profile,profile,Healthcare,Permission -> Action -> Persist,Accessibility,Restore Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00012,Android,profile,profile,FinTech,Launch -> Authenticate -> Use -> Logout,Functional,Update Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00013,Android,profile,profile,FinTech,Offline -> Sync -> Resolve,Integration,Reject Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00014,Android,profile,profile,Consumer,Offline -> Sync -> Resolve,Security,Reject Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00015,Android,profile,profile,Consumer,Push -> Open -> Verify,Security,Reject Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00016,Android,profile,profile,Consumer,Offline -> Sync -> Resolve,Integration,Escalate Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00017,Android,profile,profile,Consumer,Push -> Open -> Verify,Accessibility,Route Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00018,Android,profile,profile,Healthcare,Permission -> Action -> Persist,Performance,Clone Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00019,Android,profile,profile,Consumer,Push -> Open -> Verify,Regression,Edit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00020,Android,profile,profile,FinTech,Permission -> Action -> Persist,Functional,Update Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00021,Android,profile,profile,Healthcare,Push -> Open -> Verify,UI,Archive Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00022,Android,profile,profile,FinTech,Launch -> Authenticate -> Use -> Logout,Functional,Approve Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00023,Android,profile,profile,FinTech,Offline -> Sync -> Resolve,Security,Search Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00024,Android,profile,profile,Enterprise,Offline -> Sync -> Resolve,Performance,Restore Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00025,Android,profile,profile,Healthcare,Offline -> Sync -> Resolve,Functional,Restore Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00026,Android,profile,profile,Enterprise,Offline -> Sync -> Resolve,Regression,Submit Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PRO-00027,Android,profile,profile,Consumer,Push -> Open -> Verify,Performance,Create Android profile,Android access and test data available,"1. Open profile.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
