Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ASA-FOR-00001,Asana,forms,Submit Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-FOR-00002,Asana,forms,Edit Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-FOR-00003,Asana,forms,Edit Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-FOR-00004,Asana,forms,Search Asana forms,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-FOR-00005,Asana,forms,Reject Asana forms,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-FOR-00006,Asana,forms,Create Asana forms,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-FOR-00007,Asana,forms,Archive Asana forms,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-FOR-00008,Asana,forms,Create Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-FOR-00009,Asana,forms,Submit Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00010,Asana,forms,Reject Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-FOR-00011,Asana,forms,Delete Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-FOR-00012,Asana,forms,Edit Asana forms,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-FOR-00013,Asana,forms,Route Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-FOR-00014,Asana,forms,Restore Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-FOR-00015,Asana,forms,Archive Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00016,Asana,forms,Escalate Asana forms,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-FOR-00017,Asana,forms,Submit Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-FOR-00018,Asana,forms,Restore Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00019,Asana,forms,Reject Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-FOR-00020,Asana,forms,Update Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00021,Asana,forms,Search Asana forms,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-FOR-00022,Asana,forms,Route Asana forms,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-FOR-00023,Asana,forms,Submit Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-FOR-00024,Asana,forms,Edit Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-FOR-00025,Asana,forms,Escalate Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-FOR-00026,Asana,forms,Validate Asana forms,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-FOR-00027,Asana,forms,Archive Asana forms,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-FOR-00028,Asana,forms,Reject Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00029,Asana,forms,Create Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-FOR-00030,Asana,forms,Archive Asana forms,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-FOR-00031,Asana,forms,Clone Asana forms,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
