Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ASA-POR-00001,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00002,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00003,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00004,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00005,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00006,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00007,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00008,Asana,portfolios,Update Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00009,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00010,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00011,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00012,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00013,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00014,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00015,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00016,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00017,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00018,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00019,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00020,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00021,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00022,Asana,portfolios,Route Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00023,Asana,portfolios,Search Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00024,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00025,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00026,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00027,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00028,Asana,portfolios,Update Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00029,Asana,portfolios,Search Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00030,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00031,Asana,portfolios,Route Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00032,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00033,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00034,Asana,portfolios,Update Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00035,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00036,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00037,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00038,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00039,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00040,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00041,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00042,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00043,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00044,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00045,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00046,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00047,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00048,Asana,portfolios,Search Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00049,Asana,portfolios,Update Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00050,Asana,portfolios,Edit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00051,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00052,Asana,portfolios,Create Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00053,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00054,Asana,portfolios,Create Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00055,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00056,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00057,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00058,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00059,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00060,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00061,Asana,portfolios,Update Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00062,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00063,Asana,portfolios,Edit Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00064,Asana,portfolios,Create Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00065,Asana,portfolios,Route Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00066,Asana,portfolios,Route Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00067,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00068,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00069,Asana,portfolios,Edit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00070,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00071,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00072,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00073,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00074,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00075,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00076,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00077,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00078,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00079,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00080,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00081,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00082,Asana,portfolios,Update Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00083,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00084,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00085,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00086,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00087,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00088,Asana,portfolios,Update Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00089,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00090,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00091,Asana,portfolios,Route Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00092,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00093,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00094,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00095,Asana,portfolios,Create Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00096,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00097,Asana,portfolios,Create Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00098,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00099,Asana,portfolios,Search Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00100,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00101,Asana,portfolios,Create Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00102,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00103,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00104,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00105,Asana,portfolios,Submit Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00106,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00107,Asana,portfolios,Route Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00108,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00109,Asana,portfolios,Create Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00110,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00111,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00112,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-POR-00113,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00114,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00115,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00116,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-POR-00117,Asana,portfolios,Escalate Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00118,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00119,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-POR-00120,Asana,portfolios,Approve Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00121,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00122,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00123,Asana,portfolios,Edit Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-POR-00124,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00125,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00126,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00127,Asana,portfolios,Edit Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-POR-00128,Asana,portfolios,Search Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00129,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-POR-00130,Asana,portfolios,Clone Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00131,Asana,portfolios,Restore Asana portfolios,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-POR-00132,Asana,portfolios,Reject Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-POR-00133,Asana,portfolios,Create Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00134,Asana,portfolios,Route Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-POR-00135,Asana,portfolios,Search Asana portfolios,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-POR-00136,Asana,portfolios,Archive Asana portfolios,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-POR-00137,Asana,portfolios,Validate Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-POR-00138,Asana,portfolios,Delete Asana portfolios,Asana test data ready,Create record > route approval > verify status,Success,High
