Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ASA-TAS-00001,Asana,tasks,Update Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-TAS-00002,Asana,tasks,Create Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-TAS-00003,Asana,tasks,Create Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-TAS-00004,Asana,tasks,Reject Asana tasks,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-TAS-00005,Asana,tasks,Approve Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-TAS-00006,Asana,tasks,Delete Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-TAS-00007,Asana,tasks,Route Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-TAS-00008,Asana,tasks,Validate Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-TAS-00009,Asana,tasks,Escalate Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00010,Asana,tasks,Validate Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-TAS-00011,Asana,tasks,Approve Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-TAS-00012,Asana,tasks,Delete Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-TAS-00013,Asana,tasks,Route Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00014,Asana,tasks,Search Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00015,Asana,tasks,Restore Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-TAS-00016,Asana,tasks,Escalate Asana tasks,Asana test data ready,Submit transaction > sync system > reconcile report,Success,High
ASA-TAS-00017,Asana,tasks,Create Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00018,Asana,tasks,Submit Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-TAS-00019,Asana,tasks,Route Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00020,Asana,tasks,Delete Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-TAS-00021,Asana,tasks,Clone Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-TAS-00022,Asana,tasks,Route Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00023,Asana,tasks,Validate Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00024,Asana,tasks,Delete Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-TAS-00025,Asana,tasks,Submit Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-TAS-00026,Asana,tasks,Edit Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-TAS-00027,Asana,tasks,Delete Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-TAS-00028,Asana,tasks,Search Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
ASA-TAS-00029,Asana,tasks,Validate Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-TAS-00030,Asana,tasks,Clone Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ASA-TAS-00031,Asana,tasks,Route Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,High
ASA-TAS-00032,Asana,tasks,Restore Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Low
ASA-TAS-00033,Asana,tasks,Archive Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-TAS-00034,Asana,tasks,Validate Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-TAS-00035,Asana,tasks,Route Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00036,Asana,tasks,Delete Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,High
ASA-TAS-00037,Asana,tasks,Validate Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00038,Asana,tasks,Create Asana tasks,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Low
ASA-TAS-00039,Asana,tasks,Edit Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00040,Asana,tasks,Delete Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-TAS-00041,Asana,tasks,Clone Asana tasks,Asana test data ready,Initiate integration > check queue > confirm completion,Success,Low
ASA-TAS-00042,Asana,tasks,Validate Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,Medium
ASA-TAS-00043,Asana,tasks,Submit Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Medium
ASA-TAS-00044,Asana,tasks,Restore Asana tasks,Asana test data ready,Create record > route approval > verify status,Success,Low
ASA-TAS-00045,Asana,tasks,Archive Asana tasks,Asana test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ASA-TAS-00046,Asana,tasks,Restore Asana tasks,Asana test data ready,Open module > perform action > validate result,Success,High
