Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
AUT-CON-00001,AutomationAnywhere,control_room,Create AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-CON-00002,AutomationAnywhere,control_room,Submit AutomationAnywhere control_room,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-CON-00003,AutomationAnywhere,control_room,Search AutomationAnywhere control_room,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,High
AUT-CON-00004,AutomationAnywhere,control_room,Search AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-CON-00005,AutomationAnywhere,control_room,Delete AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-CON-00006,AutomationAnywhere,control_room,Edit AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-CON-00007,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-CON-00008,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-CON-00009,AutomationAnywhere,control_room,Create AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-CON-00010,AutomationAnywhere,control_room,Submit AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-CON-00011,AutomationAnywhere,control_room,Validate AutomationAnywhere control_room,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-CON-00012,AutomationAnywhere,control_room,Route AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-CON-00013,AutomationAnywhere,control_room,Search AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-CON-00014,AutomationAnywhere,control_room,Search AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-CON-00015,AutomationAnywhere,control_room,Escalate AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-CON-00016,AutomationAnywhere,control_room,Clone AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-CON-00017,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-CON-00018,AutomationAnywhere,control_room,Reject AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-CON-00019,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-CON-00020,AutomationAnywhere,control_room,Validate AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-CON-00021,AutomationAnywhere,control_room,Edit AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-CON-00022,AutomationAnywhere,control_room,Approve AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-CON-00023,AutomationAnywhere,control_room,Reject AutomationAnywhere control_room,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-CON-00024,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-CON-00025,AutomationAnywhere,control_room,Restore AutomationAnywhere control_room,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-CON-00026,AutomationAnywhere,control_room,Escalate AutomationAnywhere control_room,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-CON-00027,AutomationAnywhere,control_room,Update AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-CON-00028,AutomationAnywhere,control_room,Clone AutomationAnywhere control_room,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
