Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
AUT-QUE-00001,AutomationAnywhere,queues,Update AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-QUE-00002,AutomationAnywhere,queues,Edit AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00003,AutomationAnywhere,queues,Submit AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-QUE-00004,AutomationAnywhere,queues,Clone AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,High
AUT-QUE-00005,AutomationAnywhere,queues,Restore AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00006,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00007,AutomationAnywhere,queues,Update AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00008,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00009,AutomationAnywhere,queues,Submit AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00010,AutomationAnywhere,queues,Delete AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-QUE-00011,AutomationAnywhere,queues,Reject AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00012,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-QUE-00013,AutomationAnywhere,queues,Escalate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00014,AutomationAnywhere,queues,Clone AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-QUE-00015,AutomationAnywhere,queues,Validate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-QUE-00016,AutomationAnywhere,queues,Escalate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00017,AutomationAnywhere,queues,Validate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-QUE-00018,AutomationAnywhere,queues,Edit AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-QUE-00019,AutomationAnywhere,queues,Restore AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00020,AutomationAnywhere,queues,Create AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,High
AUT-QUE-00021,AutomationAnywhere,queues,Validate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00022,AutomationAnywhere,queues,Reject AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-QUE-00023,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-QUE-00024,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,High
AUT-QUE-00025,AutomationAnywhere,queues,Edit AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00026,AutomationAnywhere,queues,Create AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-QUE-00027,AutomationAnywhere,queues,Archive AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-QUE-00028,AutomationAnywhere,queues,Archive AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00029,AutomationAnywhere,queues,Update AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-QUE-00030,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-QUE-00031,AutomationAnywhere,queues,Escalate AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,High
AUT-QUE-00032,AutomationAnywhere,queues,Approve AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00033,AutomationAnywhere,queues,Search AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00034,AutomationAnywhere,queues,Clone AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-QUE-00035,AutomationAnywhere,queues,Clone AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-QUE-00036,AutomationAnywhere,queues,Search AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-QUE-00037,AutomationAnywhere,queues,Reject AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,High
AUT-QUE-00038,AutomationAnywhere,queues,Reject AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Low
AUT-QUE-00039,AutomationAnywhere,queues,Create AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00040,AutomationAnywhere,queues,Update AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,High
AUT-QUE-00041,AutomationAnywhere,queues,Restore AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-QUE-00042,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-QUE-00043,AutomationAnywhere,queues,Archive AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-QUE-00044,AutomationAnywhere,queues,Delete AutomationAnywhere queues,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
AUT-QUE-00045,AutomationAnywhere,queues,Create AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00046,AutomationAnywhere,queues,Route AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00047,AutomationAnywhere,queues,Search AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00048,AutomationAnywhere,queues,Delete AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-QUE-00049,AutomationAnywhere,queues,Restore AutomationAnywhere queues,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-QUE-00050,AutomationAnywhere,queues,Edit AutomationAnywhere queues,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-QUE-00051,AutomationAnywhere,queues,Validate AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-QUE-00052,AutomationAnywhere,queues,Delete AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-QUE-00053,AutomationAnywhere,queues,Approve AutomationAnywhere queues,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
