Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
AUT-RUN-00001,AutomationAnywhere,runner,Update AutomationAnywhere runner,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,High
AUT-RUN-00002,AutomationAnywhere,runner,Search AutomationAnywhere runner,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-RUN-00003,AutomationAnywhere,runner,Approve AutomationAnywhere runner,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Low
AUT-RUN-00004,AutomationAnywhere,runner,Reject AutomationAnywhere runner,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-RUN-00005,AutomationAnywhere,runner,Reject AutomationAnywhere runner,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,Medium
AUT-RUN-00006,AutomationAnywhere,runner,Escalate AutomationAnywhere runner,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-RUN-00007,AutomationAnywhere,runner,Update AutomationAnywhere runner,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-RUN-00008,AutomationAnywhere,runner,Reject AutomationAnywhere runner,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Low
AUT-RUN-00009,AutomationAnywhere,runner,Escalate AutomationAnywhere runner,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,High
AUT-RUN-00010,AutomationAnywhere,runner,Create AutomationAnywhere runner,AutomationAnywhere test data ready,Initiate integration > check queue > confirm completion,Success,High
AUT-RUN-00011,AutomationAnywhere,runner,Update AutomationAnywhere runner,AutomationAnywhere test data ready,Create record > route approval > verify status,Success,Medium
AUT-RUN-00012,AutomationAnywhere,runner,Archive AutomationAnywhere runner,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
AUT-RUN-00013,AutomationAnywhere,runner,Restore AutomationAnywhere runner,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Low
AUT-RUN-00014,AutomationAnywhere,runner,Route AutomationAnywhere runner,AutomationAnywhere test data ready,Open module > perform action > validate result,Success,High
AUT-RUN-00015,AutomationAnywhere,runner,Archive AutomationAnywhere runner,AutomationAnywhere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
