Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
BLA-VAR-00001,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00002,BlackLine,variance,Restore BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00003,BlackLine,variance,Edit BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00004,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00005,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,High
BLA-VAR-00006,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00007,BlackLine,variance,Archive BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,High
BLA-VAR-00008,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,High
BLA-VAR-00009,BlackLine,variance,Search BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Medium
BLA-VAR-00010,BlackLine,variance,Validate BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00011,BlackLine,variance,Approve BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00012,BlackLine,variance,Create BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00013,BlackLine,variance,Create BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Low
BLA-VAR-00014,BlackLine,variance,Escalate BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Low
BLA-VAR-00015,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Low
BLA-VAR-00016,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Low
BLA-VAR-00017,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00018,BlackLine,variance,Search BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00019,BlackLine,variance,Reject BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Medium
BLA-VAR-00020,BlackLine,variance,Escalate BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Medium
BLA-VAR-00021,BlackLine,variance,Create BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00022,BlackLine,variance,Search BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Medium
BLA-VAR-00023,BlackLine,variance,Restore BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00024,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00025,BlackLine,variance,Delete BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00026,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00027,BlackLine,variance,Create BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Medium
BLA-VAR-00028,BlackLine,variance,Update BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Medium
BLA-VAR-00029,BlackLine,variance,Validate BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00030,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00031,BlackLine,variance,Delete BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00032,BlackLine,variance,Validate BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Low
BLA-VAR-00033,BlackLine,variance,Approve BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Medium
BLA-VAR-00034,BlackLine,variance,Archive BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,Low
BLA-VAR-00035,BlackLine,variance,Delete BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BLA-VAR-00036,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00037,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00038,BlackLine,variance,Update BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,High
BLA-VAR-00039,BlackLine,variance,Reject BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00040,BlackLine,variance,Escalate BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00041,BlackLine,variance,Approve BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,High
BLA-VAR-00042,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,High
BLA-VAR-00043,BlackLine,variance,Approve BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Medium
BLA-VAR-00044,BlackLine,variance,Archive BlackLine variance,BlackLine test data ready,Create record > route approval > verify status,Success,High
BLA-VAR-00045,BlackLine,variance,Delete BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00046,BlackLine,variance,Restore BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BLA-VAR-00047,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Medium
BLA-VAR-00048,BlackLine,variance,Route BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,High
BLA-VAR-00049,BlackLine,variance,Create BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00050,BlackLine,variance,Submit BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00051,BlackLine,variance,Search BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
BLA-VAR-00052,BlackLine,variance,Clone BlackLine variance,BlackLine test data ready,Initiate integration > check queue > confirm completion,Success,High
BLA-VAR-00053,BlackLine,variance,Validate BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,High
BLA-VAR-00054,BlackLine,variance,Approve BlackLine variance,BlackLine test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BLA-VAR-00055,BlackLine,variance,Archive BlackLine variance,BlackLine test data ready,Open module > perform action > validate result,Success,Low
