Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
BOO-API-00001,Boomi,api_management,Delete Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-API-00002,Boomi,api_management,Create Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00003,Boomi,api_management,Create Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00004,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-API-00005,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00006,Boomi,api_management,Submit Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-API-00007,Boomi,api_management,Restore Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00008,Boomi,api_management,Edit Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-API-00009,Boomi,api_management,Clone Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00010,Boomi,api_management,Validate Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-API-00011,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-API-00012,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00013,Boomi,api_management,Approve Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00014,Boomi,api_management,Update Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00015,Boomi,api_management,Submit Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00016,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00017,Boomi,api_management,Approve Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00018,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-API-00019,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-API-00020,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-API-00021,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-API-00022,Boomi,api_management,Create Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00023,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-API-00024,Boomi,api_management,Restore Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-API-00025,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-API-00026,Boomi,api_management,Edit Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-API-00027,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00028,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-API-00029,Boomi,api_management,Archive Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00030,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-API-00031,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00032,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00033,Boomi,api_management,Submit Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00034,Boomi,api_management,Create Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-API-00035,Boomi,api_management,Update Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00036,Boomi,api_management,Archive Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-API-00037,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00038,Boomi,api_management,Restore Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00039,Boomi,api_management,Restore Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-API-00040,Boomi,api_management,Approve Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00041,Boomi,api_management,Approve Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-API-00042,Boomi,api_management,Validate Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-API-00043,Boomi,api_management,Validate Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-API-00044,Boomi,api_management,Update Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00045,Boomi,api_management,Update Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-API-00046,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-API-00047,Boomi,api_management,Edit Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00048,Boomi,api_management,Validate Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00049,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-API-00050,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-API-00051,Boomi,api_management,Escalate Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-API-00052,Boomi,api_management,Delete Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-API-00053,Boomi,api_management,Archive Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-API-00054,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-API-00055,Boomi,api_management,Route Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-API-00056,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-API-00057,Boomi,api_management,Delete Boomi api_management,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-API-00058,Boomi,api_management,Reject Boomi api_management,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-API-00059,Boomi,api_management,Clone Boomi api_management,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
