Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
BOO-MAS-00001,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MAS-00002,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00003,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00004,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00005,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00006,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00007,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00008,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00009,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00010,Boomi,master_data,Search Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00011,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00012,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00013,Boomi,master_data,Submit Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00014,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00015,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00016,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00017,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00018,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00019,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00020,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00021,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00022,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00023,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00024,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00025,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MAS-00026,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00027,Boomi,master_data,Route Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00028,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00029,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00030,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00031,Boomi,master_data,Submit Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00032,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00033,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00034,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00035,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00036,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00037,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00038,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00039,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MAS-00040,Boomi,master_data,Submit Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00041,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00042,Boomi,master_data,Route Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00043,Boomi,master_data,Edit Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00044,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00045,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00046,Boomi,master_data,Route Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00047,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MAS-00048,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00049,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00050,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00051,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00052,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00053,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MAS-00054,Boomi,master_data,Edit Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00055,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00056,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00057,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00058,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00059,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00060,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00061,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00062,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00063,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MAS-00064,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00065,Boomi,master_data,Search Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00066,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00067,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00068,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00069,Boomi,master_data,Validate Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00070,Boomi,master_data,Reject Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00071,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00072,Boomi,master_data,Route Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00073,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00074,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00075,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00076,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00077,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00078,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00079,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00080,Boomi,master_data,Submit Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00081,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00082,Boomi,master_data,Search Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00083,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00084,Boomi,master_data,Edit Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00085,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00086,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MAS-00087,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00088,Boomi,master_data,Submit Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00089,Boomi,master_data,Search Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MAS-00090,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MAS-00091,Boomi,master_data,Route Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00092,Boomi,master_data,Archive Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MAS-00093,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00094,Boomi,master_data,Update Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MAS-00095,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00096,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MAS-00097,Boomi,master_data,Create Boomi master_data,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MAS-00098,Boomi,master_data,Clone Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00099,Boomi,master_data,Restore Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MAS-00100,Boomi,master_data,Search Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00101,Boomi,master_data,Approve Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MAS-00102,Boomi,master_data,Escalate Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00103,Boomi,master_data,Edit Boomi master_data,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MAS-00104,Boomi,master_data,Delete Boomi master_data,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
