Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
BOO-MON-00001,Boomi,monitoring,Archive Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00002,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00003,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MON-00004,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00005,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00006,Boomi,monitoring,Search Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00007,Boomi,monitoring,Submit Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00008,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MON-00009,Boomi,monitoring,Archive Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Medium
BOO-MON-00010,Boomi,monitoring,Archive Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MON-00011,Boomi,monitoring,Escalate Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00012,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00013,Boomi,monitoring,Update Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00014,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00015,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MON-00016,Boomi,monitoring,Archive Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00017,Boomi,monitoring,Update Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MON-00018,Boomi,monitoring,Clone Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00019,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MON-00020,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00021,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00022,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MON-00023,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00024,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00025,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MON-00026,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00027,Boomi,monitoring,Clone Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00028,Boomi,monitoring,Clone Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00029,Boomi,monitoring,Escalate Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00030,Boomi,monitoring,Search Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00031,Boomi,monitoring,Search Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00032,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00033,Boomi,monitoring,Validate Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00034,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00035,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00036,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00037,Boomi,monitoring,Escalate Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00038,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00039,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Medium
BOO-MON-00040,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00041,Boomi,monitoring,Restore Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00042,Boomi,monitoring,Clone Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00043,Boomi,monitoring,Update Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00044,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00045,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00046,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00047,Boomi,monitoring,Restore Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MON-00048,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00049,Boomi,monitoring,Approve Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Low
BOO-MON-00050,Boomi,monitoring,Validate Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00051,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00052,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00053,Boomi,monitoring,Escalate Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00054,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Low
BOO-MON-00055,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00056,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00057,Boomi,monitoring,Search Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00058,Boomi,monitoring,Update Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00059,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00060,Boomi,monitoring,Restore Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MON-00061,Boomi,monitoring,Reject Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,High
BOO-MON-00062,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
BOO-MON-00063,Boomi,monitoring,Submit Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,Low
BOO-MON-00064,Boomi,monitoring,Archive Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00065,Boomi,monitoring,Delete Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00066,Boomi,monitoring,Create Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00067,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Initiate integration > check queue > confirm completion,Success,Medium
BOO-MON-00068,Boomi,monitoring,Edit Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,Low
BOO-MON-00069,Boomi,monitoring,Route Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,High
BOO-MON-00070,Boomi,monitoring,Search Boomi monitoring,Boomi test data ready,Submit transaction > sync system > reconcile report,Success,High
BOO-MON-00071,Boomi,monitoring,Escalate Boomi monitoring,Boomi test data ready,Create record > route approval > verify status,Success,High
BOO-MON-00072,Boomi,monitoring,Clone Boomi monitoring,Boomi test data ready,Open module > perform action > validate result,Success,Medium
