Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
COU-ANA-00001,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00002,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-ANA-00003,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00004,Coupa,analytics,Update Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00005,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-ANA-00006,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00007,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00008,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00009,Coupa,analytics,Submit Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-ANA-00010,Coupa,analytics,Submit Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00011,Coupa,analytics,Archive Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-ANA-00012,Coupa,analytics,Archive Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00013,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-ANA-00014,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00015,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00016,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00017,Coupa,analytics,Update Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00018,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00019,Coupa,analytics,Archive Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00020,Coupa,analytics,Approve Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-ANA-00021,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00022,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00023,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-ANA-00024,Coupa,analytics,Archive Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-ANA-00025,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00026,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-ANA-00027,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-ANA-00028,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00029,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00030,Coupa,analytics,Archive Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00031,Coupa,analytics,Reject Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-ANA-00032,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00033,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00034,Coupa,analytics,Search Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00035,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00036,Coupa,analytics,Clone Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00037,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00038,Coupa,analytics,Approve Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00039,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00040,Coupa,analytics,Submit Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00041,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00042,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-ANA-00043,Coupa,analytics,Delete Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-ANA-00044,Coupa,analytics,Clone Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00045,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00046,Coupa,analytics,Create Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00047,Coupa,analytics,Clone Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-ANA-00048,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-ANA-00049,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00050,Coupa,analytics,Approve Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00051,Coupa,analytics,Search Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00052,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00053,Coupa,analytics,Search Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00054,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-ANA-00055,Coupa,analytics,Clone Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-ANA-00056,Coupa,analytics,Search Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-ANA-00057,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00058,Coupa,analytics,Update Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-ANA-00059,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00060,Coupa,analytics,Route Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-ANA-00061,Coupa,analytics,Edit Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-ANA-00062,Coupa,analytics,Clone Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00063,Coupa,analytics,Escalate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00064,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-ANA-00065,Coupa,analytics,Update Coupa analytics,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-ANA-00066,Coupa,analytics,Search Coupa analytics,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-ANA-00067,Coupa,analytics,Submit Coupa analytics,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-ANA-00068,Coupa,analytics,Validate Coupa analytics,Coupa test data ready,Open module > perform action > validate result,Success,Low
