Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
COU-EXP-00001,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00002,Coupa,expenses,Delete Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-EXP-00003,Coupa,expenses,Route Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-EXP-00004,Coupa,expenses,Reject Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-EXP-00005,Coupa,expenses,Delete Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-EXP-00006,Coupa,expenses,Validate Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00007,Coupa,expenses,Search Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-EXP-00008,Coupa,expenses,Delete Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00009,Coupa,expenses,Search Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-EXP-00010,Coupa,expenses,Approve Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-EXP-00011,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-EXP-00012,Coupa,expenses,Escalate Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00013,Coupa,expenses,Search Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-EXP-00014,Coupa,expenses,Edit Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00015,Coupa,expenses,Restore Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-EXP-00016,Coupa,expenses,Clone Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-EXP-00017,Coupa,expenses,Submit Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-EXP-00018,Coupa,expenses,Restore Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-EXP-00019,Coupa,expenses,Create Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-EXP-00020,Coupa,expenses,Restore Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00021,Coupa,expenses,Reject Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-EXP-00022,Coupa,expenses,Archive Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-EXP-00023,Coupa,expenses,Validate Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-EXP-00024,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-EXP-00025,Coupa,expenses,Restore Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00026,Coupa,expenses,Search Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00027,Coupa,expenses,Reject Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-EXP-00028,Coupa,expenses,Submit Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00029,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00030,Coupa,expenses,Submit Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-EXP-00031,Coupa,expenses,Validate Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-EXP-00032,Coupa,expenses,Escalate Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00033,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-EXP-00034,Coupa,expenses,Create Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00035,Coupa,expenses,Reject Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-EXP-00036,Coupa,expenses,Search Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-EXP-00037,Coupa,expenses,Archive Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-EXP-00038,Coupa,expenses,Create Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-EXP-00039,Coupa,expenses,Create Coupa expenses,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-EXP-00040,Coupa,expenses,Delete Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-EXP-00041,Coupa,expenses,Delete Coupa expenses,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-EXP-00042,Coupa,expenses,Update Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-EXP-00043,Coupa,expenses,Route Coupa expenses,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-EXP-00044,Coupa,expenses,Clone Coupa expenses,Coupa test data ready,Create record > route approval > verify status,Success,Medium
