Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
COU-INV-00001,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00002,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00003,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00004,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00005,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00006,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-INV-00007,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00008,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00009,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00010,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00011,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00012,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00013,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00014,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00015,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00016,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00017,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00018,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00019,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00020,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00021,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00022,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00023,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00024,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00025,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00026,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00027,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00028,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00029,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00030,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00031,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00032,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00033,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00034,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00035,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00036,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00037,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00038,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00039,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00040,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00041,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00042,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00043,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00044,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00045,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00046,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00047,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00048,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00049,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00050,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00051,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00052,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00053,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00054,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00055,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-INV-00056,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00057,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00058,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00059,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00060,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00061,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00062,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00063,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00064,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00065,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00066,Coupa,invoicing,Submit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00067,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-INV-00068,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00069,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00070,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-INV-00071,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00072,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00073,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00074,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00075,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00076,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00077,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00078,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00079,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00080,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00081,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-INV-00082,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00083,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00084,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00085,Coupa,invoicing,Search Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00086,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00087,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00088,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00089,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00090,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00091,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00092,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00093,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00094,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00095,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00096,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00097,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00098,Coupa,invoicing,Archive Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-INV-00099,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-INV-00100,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00101,Coupa,invoicing,Delete Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00102,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00103,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00104,Coupa,invoicing,Approve Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00105,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,Medium
COU-INV-00106,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00107,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00108,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00109,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00110,Coupa,invoicing,Edit Coupa invoicing,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-INV-00111,Coupa,invoicing,Validate Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00112,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-INV-00113,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00114,Coupa,invoicing,Restore Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-INV-00115,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-INV-00116,Coupa,invoicing,Clone Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-INV-00117,Coupa,invoicing,Create Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00118,Coupa,invoicing,Escalate Coupa invoicing,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-INV-00119,Coupa,invoicing,Reject Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-INV-00120,Coupa,invoicing,Route Coupa invoicing,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-INV-00121,Coupa,invoicing,Update Coupa invoicing,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
