Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
COU-SUP-00001,Coupa,supplier_mgmt,Route Coupa supplier_mgmt,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-SUP-00002,Coupa,supplier_mgmt,Update Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-SUP-00003,Coupa,supplier_mgmt,Clone Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-SUP-00004,Coupa,supplier_mgmt,Escalate Coupa supplier_mgmt,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,High
COU-SUP-00005,Coupa,supplier_mgmt,Validate Coupa supplier_mgmt,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-SUP-00006,Coupa,supplier_mgmt,Approve Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-SUP-00007,Coupa,supplier_mgmt,Update Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,Medium
COU-SUP-00008,Coupa,supplier_mgmt,Search Coupa supplier_mgmt,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-SUP-00009,Coupa,supplier_mgmt,Edit Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-SUP-00010,Coupa,supplier_mgmt,Route Coupa supplier_mgmt,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,High
COU-SUP-00011,Coupa,supplier_mgmt,Edit Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-SUP-00012,Coupa,supplier_mgmt,Archive Coupa supplier_mgmt,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-SUP-00013,Coupa,supplier_mgmt,Route Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-SUP-00014,Coupa,supplier_mgmt,Validate Coupa supplier_mgmt,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Medium
COU-SUP-00015,Coupa,supplier_mgmt,Update Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,High
COU-SUP-00016,Coupa,supplier_mgmt,Clone Coupa supplier_mgmt,Coupa test data ready,Initiate integration > check queue > confirm completion,Success,Low
COU-SUP-00017,Coupa,supplier_mgmt,Reject Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-SUP-00018,Coupa,supplier_mgmt,Edit Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,Low
COU-SUP-00019,Coupa,supplier_mgmt,Create Coupa supplier_mgmt,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Medium
COU-SUP-00020,Coupa,supplier_mgmt,Search Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,High
COU-SUP-00021,Coupa,supplier_mgmt,Delete Coupa supplier_mgmt,Coupa test data ready,Submit transaction > sync system > reconcile report,Success,Low
COU-SUP-00022,Coupa,supplier_mgmt,Approve Coupa supplier_mgmt,Coupa test data ready,Create record > route approval > verify status,Success,Low
COU-SUP-00023,Coupa,supplier_mgmt,Search Coupa supplier_mgmt,Coupa test data ready,Open module > perform action > validate result,Success,Medium
