Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CRO-END-00001,CrowdStrike,endpoint,Submit CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00002,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00003,CrowdStrike,endpoint,Approve CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-END-00004,CrowdStrike,endpoint,Submit CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-END-00005,CrowdStrike,endpoint,Route CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-END-00006,CrowdStrike,endpoint,Restore CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00007,CrowdStrike,endpoint,Reject CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00008,CrowdStrike,endpoint,Route CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00009,CrowdStrike,endpoint,Escalate CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-END-00010,CrowdStrike,endpoint,Approve CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-END-00011,CrowdStrike,endpoint,Search CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00012,CrowdStrike,endpoint,Restore CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-END-00013,CrowdStrike,endpoint,Submit CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00014,CrowdStrike,endpoint,Clone CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-END-00015,CrowdStrike,endpoint,Validate CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-END-00016,CrowdStrike,endpoint,Delete CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-END-00017,CrowdStrike,endpoint,Escalate CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00018,CrowdStrike,endpoint,Edit CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-END-00019,CrowdStrike,endpoint,Update CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00020,CrowdStrike,endpoint,Edit CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-END-00021,CrowdStrike,endpoint,Delete CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00022,CrowdStrike,endpoint,Search CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-END-00023,CrowdStrike,endpoint,Edit CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-END-00024,CrowdStrike,endpoint,Clone CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-END-00025,CrowdStrike,endpoint,Escalate CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-END-00026,CrowdStrike,endpoint,Clone CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00027,CrowdStrike,endpoint,Create CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00028,CrowdStrike,endpoint,Update CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00029,CrowdStrike,endpoint,Clone CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00030,CrowdStrike,endpoint,Update CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00031,CrowdStrike,endpoint,Create CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-END-00032,CrowdStrike,endpoint,Search CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-END-00033,CrowdStrike,endpoint,Reject CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-END-00034,CrowdStrike,endpoint,Submit CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-END-00035,CrowdStrike,endpoint,Reject CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-END-00036,CrowdStrike,endpoint,Validate CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00037,CrowdStrike,endpoint,Approve CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-END-00038,CrowdStrike,endpoint,Approve CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-END-00039,CrowdStrike,endpoint,Reject CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-END-00040,CrowdStrike,endpoint,Route CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-END-00041,CrowdStrike,endpoint,Update CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-END-00042,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-END-00043,CrowdStrike,endpoint,Create CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00044,CrowdStrike,endpoint,Create CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-END-00045,CrowdStrike,endpoint,Search CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00046,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-END-00047,CrowdStrike,endpoint,Create CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-END-00048,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-END-00049,CrowdStrike,endpoint,Clone CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-END-00050,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-END-00051,CrowdStrike,endpoint,Archive CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-END-00052,CrowdStrike,endpoint,Update CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-END-00053,CrowdStrike,endpoint,Approve CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-END-00054,CrowdStrike,endpoint,Edit CrowdStrike endpoint,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-END-00055,CrowdStrike,endpoint,Edit CrowdStrike endpoint,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-END-00056,CrowdStrike,endpoint,Route CrowdStrike endpoint,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
