Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CRO-HUN-00001,CrowdStrike,hunt,Reject CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-HUN-00002,CrowdStrike,hunt,Delete CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-HUN-00003,CrowdStrike,hunt,Restore CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-HUN-00004,CrowdStrike,hunt,Edit CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-HUN-00005,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-HUN-00006,CrowdStrike,hunt,Clone CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00007,CrowdStrike,hunt,Clone CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00008,CrowdStrike,hunt,Escalate CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00009,CrowdStrike,hunt,Restore CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-HUN-00010,CrowdStrike,hunt,Edit CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-HUN-00011,CrowdStrike,hunt,Restore CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-HUN-00012,CrowdStrike,hunt,Reject CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-HUN-00013,CrowdStrike,hunt,Clone CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-HUN-00014,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00015,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00016,CrowdStrike,hunt,Validate CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-HUN-00017,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00018,CrowdStrike,hunt,Search CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00019,CrowdStrike,hunt,Route CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-HUN-00020,CrowdStrike,hunt,Delete CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-HUN-00021,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-HUN-00022,CrowdStrike,hunt,Clone CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00023,CrowdStrike,hunt,Delete CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-HUN-00024,CrowdStrike,hunt,Create CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-HUN-00025,CrowdStrike,hunt,Update CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00026,CrowdStrike,hunt,Validate CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-HUN-00027,CrowdStrike,hunt,Reject CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-HUN-00028,CrowdStrike,hunt,Submit CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00029,CrowdStrike,hunt,Validate CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-HUN-00030,CrowdStrike,hunt,Clone CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-HUN-00031,CrowdStrike,hunt,Route CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-HUN-00032,CrowdStrike,hunt,Update CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-HUN-00033,CrowdStrike,hunt,Approve CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-HUN-00034,CrowdStrike,hunt,Validate CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-HUN-00035,CrowdStrike,hunt,Update CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-HUN-00036,CrowdStrike,hunt,Approve CrowdStrike hunt,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-HUN-00037,CrowdStrike,hunt,Archive CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-HUN-00038,CrowdStrike,hunt,Update CrowdStrike hunt,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-HUN-00039,CrowdStrike,hunt,Validate CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-HUN-00040,CrowdStrike,hunt,Search CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-HUN-00041,CrowdStrike,hunt,Delete CrowdStrike hunt,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-HUN-00042,CrowdStrike,hunt,Route CrowdStrike hunt,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
