Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CRO-SEN-00001,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00002,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00003,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00004,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00005,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00006,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00007,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00008,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00009,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00010,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00011,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00012,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00013,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00014,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00015,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00016,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00017,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00018,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00019,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00020,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00021,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00022,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00023,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00024,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00025,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00026,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00027,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00028,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00029,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00030,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00031,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00032,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00033,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00034,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00035,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00036,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00037,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00038,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00039,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00040,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00041,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00042,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00043,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00044,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00045,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00046,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00047,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00048,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00049,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00050,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00051,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00052,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00053,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00054,CrowdStrike,sensor,Restore CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00055,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00056,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00057,CrowdStrike,sensor,Restore CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00058,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00059,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00060,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00061,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00062,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00063,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00064,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00065,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00066,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00067,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00068,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00069,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00070,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00071,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00072,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00073,CrowdStrike,sensor,Restore CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00074,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00075,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00076,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00077,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00078,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Low
CRO-SEN-00079,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00080,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00081,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00082,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00083,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00084,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00085,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00086,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00087,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00088,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00089,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00090,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00091,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00092,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00093,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00094,CrowdStrike,sensor,Escalate CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00095,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00096,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00097,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00098,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00099,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00100,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00101,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00102,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00103,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
CRO-SEN-00104,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00105,CrowdStrike,sensor,Search CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00106,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00107,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00108,CrowdStrike,sensor,Edit CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00109,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00110,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00111,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00112,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00113,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00114,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00115,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Medium
CRO-SEN-00116,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00117,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Medium
CRO-SEN-00118,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00119,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,High
CRO-SEN-00120,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00121,CrowdStrike,sensor,Update CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00122,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,Low
CRO-SEN-00123,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00124,CrowdStrike,sensor,Reject CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00125,CrowdStrike,sensor,Archive CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00126,CrowdStrike,sensor,Clone CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00127,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00128,CrowdStrike,sensor,Submit CrowdStrike sensor,CrowdStrike test data ready,Open module > perform action > validate result,Success,High
CRO-SEN-00129,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CRO-SEN-00130,CrowdStrike,sensor,Route CrowdStrike sensor,CrowdStrike test data ready,Initiate integration > check queue > confirm completion,Success,Low
CRO-SEN-00131,CrowdStrike,sensor,Delete CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00132,CrowdStrike,sensor,Approve CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CRO-SEN-00133,CrowdStrike,sensor,Restore CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,High
CRO-SEN-00134,CrowdStrike,sensor,Validate CrowdStrike sensor,CrowdStrike test data ready,Submit transaction > sync system > reconcile report,Success,High
CRO-SEN-00135,CrowdStrike,sensor,Create CrowdStrike sensor,CrowdStrike test data ready,Create record > route approval > verify status,Success,Low
