Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CYB-CON-00001,CyberArk,conjur,Submit CyberArk conjur,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-CON-00002,CyberArk,conjur,Update CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-CON-00003,CyberArk,conjur,Validate CyberArk conjur,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-CON-00004,CyberArk,conjur,Edit CyberArk conjur,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-CON-00005,CyberArk,conjur,Escalate CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-CON-00006,CyberArk,conjur,Create CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-CON-00007,CyberArk,conjur,Archive CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-CON-00008,CyberArk,conjur,Submit CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-CON-00009,CyberArk,conjur,Edit CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-CON-00010,CyberArk,conjur,Clone CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-CON-00011,CyberArk,conjur,Delete CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-CON-00012,CyberArk,conjur,Submit CyberArk conjur,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-CON-00013,CyberArk,conjur,Route CyberArk conjur,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-CON-00014,CyberArk,conjur,Edit CyberArk conjur,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-CON-00015,CyberArk,conjur,Update CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-CON-00016,CyberArk,conjur,Restore CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-CON-00017,CyberArk,conjur,Submit CyberArk conjur,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-CON-00018,CyberArk,conjur,Restore CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-CON-00019,CyberArk,conjur,Update CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-CON-00020,CyberArk,conjur,Search CyberArk conjur,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-CON-00021,CyberArk,conjur,Submit CyberArk conjur,CyberArk test data ready,Create record > route approval > verify status,Success,Low
