Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CYB-PRI-00001,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00002,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00003,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00004,CyberArk,privileged_access,Clone CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00005,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00006,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00007,CyberArk,privileged_access,Approve CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-PRI-00008,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-PRI-00009,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-PRI-00010,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-PRI-00011,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00012,CyberArk,privileged_access,Delete CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00013,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00014,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00015,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-PRI-00016,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00017,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00018,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00019,CyberArk,privileged_access,Approve CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00020,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00021,CyberArk,privileged_access,Edit CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-PRI-00022,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00023,CyberArk,privileged_access,Submit CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-PRI-00024,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-PRI-00025,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00026,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00027,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00028,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00029,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00030,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00031,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-PRI-00032,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-PRI-00033,CyberArk,privileged_access,Approve CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00034,CyberArk,privileged_access,Clone CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00035,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00036,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00037,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00038,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-PRI-00039,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00040,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00041,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00042,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00043,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-PRI-00044,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-PRI-00045,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00046,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00047,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-PRI-00048,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00049,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-PRI-00050,CyberArk,privileged_access,Escalate CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00051,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-PRI-00052,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00053,CyberArk,privileged_access,Delete CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-PRI-00054,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00055,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00056,CyberArk,privileged_access,Clone CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00057,CyberArk,privileged_access,Create CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00058,CyberArk,privileged_access,Submit CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-PRI-00059,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00060,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00061,CyberArk,privileged_access,Route CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00062,CyberArk,privileged_access,Approve CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00063,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-PRI-00064,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-PRI-00065,CyberArk,privileged_access,Reject CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00066,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-PRI-00067,CyberArk,privileged_access,Edit CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-PRI-00068,CyberArk,privileged_access,Restore CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00069,CyberArk,privileged_access,Clone CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00070,CyberArk,privileged_access,Edit CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-PRI-00071,CyberArk,privileged_access,Update CyberArk privileged_access,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-PRI-00072,CyberArk,privileged_access,Search CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00073,CyberArk,privileged_access,Validate CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-PRI-00074,CyberArk,privileged_access,Archive CyberArk privileged_access,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-PRI-00075,CyberArk,privileged_access,Delete CyberArk privileged_access,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-PRI-00076,CyberArk,privileged_access,Clone CyberArk privileged_access,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
