Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CYB-ROT-00001,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-ROT-00002,CyberArk,rotation,Create CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00003,CyberArk,rotation,Approve CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00004,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-ROT-00005,CyberArk,rotation,Restore CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00006,CyberArk,rotation,Clone CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-ROT-00007,CyberArk,rotation,Create CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00008,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-ROT-00009,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-ROT-00010,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00011,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-ROT-00012,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00013,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00014,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00015,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00016,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-ROT-00017,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00018,CyberArk,rotation,Search CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00019,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00020,CyberArk,rotation,Search CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00021,CyberArk,rotation,Archive CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00022,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00023,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00024,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00025,CyberArk,rotation,Update CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00026,CyberArk,rotation,Update CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00027,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00028,CyberArk,rotation,Delete CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-ROT-00029,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00030,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00031,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00032,CyberArk,rotation,Delete CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00033,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00034,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-ROT-00035,CyberArk,rotation,Edit CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00036,CyberArk,rotation,Create CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-ROT-00037,CyberArk,rotation,Edit CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-ROT-00038,CyberArk,rotation,Clone CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-ROT-00039,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00040,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-ROT-00041,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00042,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00043,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00044,CyberArk,rotation,Search CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-ROT-00045,CyberArk,rotation,Archive CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-ROT-00046,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00047,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-ROT-00048,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00049,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00050,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00051,CyberArk,rotation,Update CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00052,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-ROT-00053,CyberArk,rotation,Create CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-ROT-00054,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00055,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00056,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-ROT-00057,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00058,CyberArk,rotation,Escalate CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00059,CyberArk,rotation,Edit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00060,CyberArk,rotation,Route CyberArk rotation,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-ROT-00061,CyberArk,rotation,Approve CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00062,CyberArk,rotation,Create CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-ROT-00063,CyberArk,rotation,Approve CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00064,CyberArk,rotation,Archive CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00065,CyberArk,rotation,Approve CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00066,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-ROT-00067,CyberArk,rotation,Delete CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00068,CyberArk,rotation,Archive CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00069,CyberArk,rotation,Validate CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-ROT-00070,CyberArk,rotation,Edit CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-ROT-00071,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00072,CyberArk,rotation,Reject CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-ROT-00073,CyberArk,rotation,Archive CyberArk rotation,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-ROT-00074,CyberArk,rotation,Edit CyberArk rotation,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-ROT-00075,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-ROT-00076,CyberArk,rotation,Submit CyberArk rotation,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
