Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CYB-SES-00001,CyberArk,session_management,Search CyberArk session_management,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-SES-00002,CyberArk,session_management,Approve CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-SES-00003,CyberArk,session_management,Restore CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-SES-00004,CyberArk,session_management,Validate CyberArk session_management,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-SES-00005,CyberArk,session_management,Edit CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-SES-00006,CyberArk,session_management,Route CyberArk session_management,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-SES-00007,CyberArk,session_management,Clone CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-SES-00008,CyberArk,session_management,Update CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-SES-00009,CyberArk,session_management,Clone CyberArk session_management,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-SES-00010,CyberArk,session_management,Delete CyberArk session_management,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-SES-00011,CyberArk,session_management,Route CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-SES-00012,CyberArk,session_management,Delete CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-SES-00013,CyberArk,session_management,Delete CyberArk session_management,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-SES-00014,CyberArk,session_management,Restore CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-SES-00015,CyberArk,session_management,Clone CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-SES-00016,CyberArk,session_management,Route CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-SES-00017,CyberArk,session_management,Validate CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-SES-00018,CyberArk,session_management,Delete CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-SES-00019,CyberArk,session_management,Route CyberArk session_management,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-SES-00020,CyberArk,session_management,Reject CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-SES-00021,CyberArk,session_management,Create CyberArk session_management,CyberArk test data ready,Create record > route approval > verify status,Success,Low
