Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
CYB-VAU-00001,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00002,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00003,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00004,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00005,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00006,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00007,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00008,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00009,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00010,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00011,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00012,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00013,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00014,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00015,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00016,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00017,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00018,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00019,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00020,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00021,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00022,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00023,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00024,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00025,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00026,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00027,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00028,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00029,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00030,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00031,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00032,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00033,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00034,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00035,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00036,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00037,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00038,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00039,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00040,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00041,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00042,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00043,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00044,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00045,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00046,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00047,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00048,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00049,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00050,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00051,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00052,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00053,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00054,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00055,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00056,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00057,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00058,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00059,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00060,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00061,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00062,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00063,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00064,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00065,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00066,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00067,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00068,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00069,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00070,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00071,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00072,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00073,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00074,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00075,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00076,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00077,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00078,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00079,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00080,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00081,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00082,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00083,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00084,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00085,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00086,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00087,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00088,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00089,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00090,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00091,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00092,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00093,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00094,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00095,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00096,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00097,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00098,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00099,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00100,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00101,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00102,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00103,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00104,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00105,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00106,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00107,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00108,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00109,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00110,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00111,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00112,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00113,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00114,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00115,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00116,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00117,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00118,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00119,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00120,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00121,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00122,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00123,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00124,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00125,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00126,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00127,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00128,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00129,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00130,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00131,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00132,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00133,CyberArk,vault,Escalate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00134,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00135,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00136,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00137,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00138,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00139,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00140,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00141,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00142,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00143,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00144,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00145,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00146,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00147,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00148,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00149,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00150,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Low
CYB-VAU-00151,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00152,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00153,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00154,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00155,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00156,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00157,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00158,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00159,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00160,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00161,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00162,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00163,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00164,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00165,CyberArk,vault,Delete CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00166,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00167,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00168,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00169,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00170,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00171,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
CYB-VAU-00172,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Low
CYB-VAU-00173,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00174,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00175,CyberArk,vault,Clone CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,Low
CYB-VAU-00176,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00177,CyberArk,vault,Create CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00178,CyberArk,vault,Approve CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00179,CyberArk,vault,Edit CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,Medium
CYB-VAU-00180,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00181,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,High
CYB-VAU-00182,CyberArk,vault,Submit CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00183,CyberArk,vault,Reject CyberArk vault,CyberArk test data ready,Submit transaction > sync system > reconcile report,Success,High
CYB-VAU-00184,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00185,CyberArk,vault,Restore CyberArk vault,CyberArk test data ready,Create record > route approval > verify status,Success,High
CYB-VAU-00186,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00187,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00188,CyberArk,vault,Route CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00189,CyberArk,vault,Search CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Low
CYB-VAU-00190,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00191,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,High
CYB-VAU-00192,CyberArk,vault,Update CyberArk vault,CyberArk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
CYB-VAU-00193,CyberArk,vault,Archive CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
CYB-VAU-00194,CyberArk,vault,Validate CyberArk vault,CyberArk test data ready,Open module > perform action > validate result,Success,Medium
