Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DAT-INF-00001,Datadog,infra,Approve Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00002,Datadog,infra,Reject Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00003,Datadog,infra,Edit Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00004,Datadog,infra,Archive Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00005,Datadog,infra,Delete Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00006,Datadog,infra,Archive Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00007,Datadog,infra,Create Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-INF-00008,Datadog,infra,Create Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00009,Datadog,infra,Reject Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00010,Datadog,infra,Restore Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-INF-00011,Datadog,infra,Submit Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00012,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-INF-00013,Datadog,infra,Update Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00014,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00015,Datadog,infra,Submit Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-INF-00016,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00017,Datadog,infra,Restore Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00018,Datadog,infra,Clone Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00019,Datadog,infra,Reject Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00020,Datadog,infra,Archive Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00021,Datadog,infra,Create Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-INF-00022,Datadog,infra,Route Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00023,Datadog,infra,Route Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00024,Datadog,infra,Validate Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-INF-00025,Datadog,infra,Edit Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-INF-00026,Datadog,infra,Delete Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-INF-00027,Datadog,infra,Delete Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00028,Datadog,infra,Edit Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-INF-00029,Datadog,infra,Delete Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-INF-00030,Datadog,infra,Create Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00031,Datadog,infra,Create Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00032,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00033,Datadog,infra,Update Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00034,Datadog,infra,Search Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00035,Datadog,infra,Reject Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-INF-00036,Datadog,infra,Submit Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00037,Datadog,infra,Search Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00038,Datadog,infra,Route Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-INF-00039,Datadog,infra,Route Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,High
DAT-INF-00040,Datadog,infra,Approve Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-INF-00041,Datadog,infra,Approve Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-INF-00042,Datadog,infra,Update Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00043,Datadog,infra,Edit Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,High
DAT-INF-00044,Datadog,infra,Route Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,High
DAT-INF-00045,Datadog,infra,Approve Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00046,Datadog,infra,Approve Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,High
DAT-INF-00047,Datadog,infra,Edit Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,High
DAT-INF-00048,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-INF-00049,Datadog,infra,Search Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00050,Datadog,infra,Approve Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-INF-00051,Datadog,infra,Clone Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00052,Datadog,infra,Search Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00053,Datadog,infra,Delete Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-INF-00054,Datadog,infra,Update Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-INF-00055,Datadog,infra,Escalate Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00056,Datadog,infra,Restore Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00057,Datadog,infra,Submit Datadog infra,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-INF-00058,Datadog,infra,Reject Datadog infra,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-INF-00059,Datadog,infra,Reject Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-INF-00060,Datadog,infra,Submit Datadog infra,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-INF-00061,Datadog,infra,Submit Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-INF-00062,Datadog,infra,Reject Datadog infra,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
