Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DAT-RUM-00001,Datadog,rum,Approve Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,High
DAT-RUM-00002,Datadog,rum,Reject Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-RUM-00003,Datadog,rum,Escalate Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-RUM-00004,Datadog,rum,Delete Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-RUM-00005,Datadog,rum,Approve Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-RUM-00006,Datadog,rum,Create Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-RUM-00007,Datadog,rum,Restore Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-RUM-00008,Datadog,rum,Restore Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-RUM-00009,Datadog,rum,Approve Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-RUM-00010,Datadog,rum,Approve Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-RUM-00011,Datadog,rum,Escalate Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-RUM-00012,Datadog,rum,Reject Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-RUM-00013,Datadog,rum,Update Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-RUM-00014,Datadog,rum,Validate Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-RUM-00015,Datadog,rum,Delete Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-RUM-00016,Datadog,rum,Restore Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-RUM-00017,Datadog,rum,Validate Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-RUM-00018,Datadog,rum,Search Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-RUM-00019,Datadog,rum,Delete Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-RUM-00020,Datadog,rum,Archive Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-RUM-00021,Datadog,rum,Update Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-RUM-00022,Datadog,rum,Clone Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-RUM-00023,Datadog,rum,Edit Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-RUM-00024,Datadog,rum,Update Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-RUM-00025,Datadog,rum,Edit Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-RUM-00026,Datadog,rum,Edit Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-RUM-00027,Datadog,rum,Restore Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,High
DAT-RUM-00028,Datadog,rum,Submit Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-RUM-00029,Datadog,rum,Reject Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,High
DAT-RUM-00030,Datadog,rum,Submit Datadog rum,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-RUM-00031,Datadog,rum,Clone Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-RUM-00032,Datadog,rum,Escalate Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-RUM-00033,Datadog,rum,Submit Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-RUM-00034,Datadog,rum,Search Datadog rum,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-RUM-00035,Datadog,rum,Update Datadog rum,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,High
DAT-RUM-00036,Datadog,rum,Delete Datadog rum,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
