Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DAT-SEC-00001,Datadog,security,Reject Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-SEC-00002,Datadog,security,Update Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-SEC-00003,Datadog,security,Restore Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00004,Datadog,security,Search Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00005,Datadog,security,Route Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00006,Datadog,security,Reject Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-SEC-00007,Datadog,security,Route Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00008,Datadog,security,Escalate Datadog security,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-SEC-00009,Datadog,security,Search Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00010,Datadog,security,Escalate Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00011,Datadog,security,Clone Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-SEC-00012,Datadog,security,Route Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-SEC-00013,Datadog,security,Delete Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-SEC-00014,Datadog,security,Archive Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,High
DAT-SEC-00015,Datadog,security,Reject Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00016,Datadog,security,Create Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-SEC-00017,Datadog,security,Approve Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,Low
DAT-SEC-00018,Datadog,security,Reject Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,High
DAT-SEC-00019,Datadog,security,Edit Datadog security,Datadog test data ready,Create record > route approval > verify status,Success,Medium
DAT-SEC-00020,Datadog,security,Clone Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-SEC-00021,Datadog,security,Route Datadog security,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DAT-SEC-00022,Datadog,security,Delete Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Medium
DAT-SEC-00023,Datadog,security,Escalate Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00024,Datadog,security,Edit Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00025,Datadog,security,Escalate Datadog security,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-SEC-00026,Datadog,security,Restore Datadog security,Datadog test data ready,Submit transaction > sync system > reconcile report,Success,Low
DAT-SEC-00027,Datadog,security,Escalate Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00028,Datadog,security,Reject Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00029,Datadog,security,Clone Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Low
DAT-SEC-00030,Datadog,security,Restore Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,High
DAT-SEC-00031,Datadog,security,Escalate Datadog security,Datadog test data ready,Open module > perform action > validate result,Success,Low
DAT-SEC-00032,Datadog,security,Archive Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DAT-SEC-00033,Datadog,security,Route Datadog security,Datadog test data ready,Initiate integration > check queue > confirm completion,Success,Medium
