Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DOC-ROU-00001,DocuSign,routing,Edit DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,High
DOC-ROU-00002,DocuSign,routing,Search DocuSign routing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DOC-ROU-00003,DocuSign,routing,Reject DocuSign routing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,Low
DOC-ROU-00004,DocuSign,routing,Update DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-ROU-00005,DocuSign,routing,Archive DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-ROU-00006,DocuSign,routing,Submit DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-ROU-00007,DocuSign,routing,Escalate DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,High
DOC-ROU-00008,DocuSign,routing,Reject DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-ROU-00009,DocuSign,routing,Reject DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-ROU-00010,DocuSign,routing,Validate DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,Medium
DOC-ROU-00011,DocuSign,routing,Validate DocuSign routing,DocuSign test data ready,Open module > perform action > validate result,Success,High
DOC-ROU-00012,DocuSign,routing,Edit DocuSign routing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,High
DOC-ROU-00013,DocuSign,routing,Create DocuSign routing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,High
DOC-ROU-00014,DocuSign,routing,Reject DocuSign routing,DocuSign test data ready,Create record > route approval > verify status,Success,Low
DOC-ROU-00015,DocuSign,routing,Restore DocuSign routing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,High
DOC-ROU-00016,DocuSign,routing,Update DocuSign routing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,High
