Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DOC-SIG-00001,DocuSign,signing,Reject DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,High
DOC-SIG-00002,DocuSign,signing,Route DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DOC-SIG-00003,DocuSign,signing,Validate DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,High
DOC-SIG-00004,DocuSign,signing,Reject DocuSign signing,DocuSign test data ready,Open module > perform action > validate result,Success,Low
DOC-SIG-00005,DocuSign,signing,Update DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,Low
DOC-SIG-00006,DocuSign,signing,Search DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,Low
DOC-SIG-00007,DocuSign,signing,Update DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,Medium
DOC-SIG-00008,DocuSign,signing,Search DocuSign signing,DocuSign test data ready,Open module > perform action > validate result,Success,High
DOC-SIG-00009,DocuSign,signing,Create DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,High
DOC-SIG-00010,DocuSign,signing,Delete DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,Low
DOC-SIG-00011,DocuSign,signing,Route DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,High
DOC-SIG-00012,DocuSign,signing,Restore DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DOC-SIG-00013,DocuSign,signing,Submit DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,High
DOC-SIG-00014,DocuSign,signing,Archive DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DOC-SIG-00015,DocuSign,signing,Create DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,High
DOC-SIG-00016,DocuSign,signing,Validate DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DOC-SIG-00017,DocuSign,signing,Escalate DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,Medium
DOC-SIG-00018,DocuSign,signing,Approve DocuSign signing,DocuSign test data ready,Submit transaction > sync system > reconcile report,Success,Low
DOC-SIG-00019,DocuSign,signing,Archive DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,Low
DOC-SIG-00020,DocuSign,signing,Update DocuSign signing,DocuSign test data ready,Open module > perform action > validate result,Success,Medium
DOC-SIG-00021,DocuSign,signing,Archive DocuSign signing,DocuSign test data ready,Open module > perform action > validate result,Success,Medium
DOC-SIG-00022,DocuSign,signing,Update DocuSign signing,DocuSign test data ready,Open module > perform action > validate result,Success,High
DOC-SIG-00023,DocuSign,signing,Clone DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DOC-SIG-00024,DocuSign,signing,Reject DocuSign signing,DocuSign test data ready,Create record > route approval > verify status,Success,Low
DOC-SIG-00025,DocuSign,signing,Create DocuSign signing,DocuSign test data ready,Initiate integration > check queue > confirm completion,Success,High
