Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DYN-FIN-00001,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,High
DYN-FIN-00002,Dynamics365,finance,Escalate Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,High
DYN-FIN-00003,Dynamics365,finance,Clone Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00004,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00005,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00006,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00007,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DYN-FIN-00008,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-FIN-00009,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-FIN-00010,Dynamics365,finance,Escalate Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00011,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00012,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00013,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00014,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00015,Dynamics365,finance,Clone Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00016,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00017,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00018,Dynamics365,finance,Restore Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00019,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00020,Dynamics365,finance,Route Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00021,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00022,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00023,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00024,Dynamics365,finance,Clone Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DYN-FIN-00025,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00026,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00027,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00028,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00029,Dynamics365,finance,Route Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00030,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-FIN-00031,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00032,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00033,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00034,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00035,Dynamics365,finance,Restore Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Medium
DYN-FIN-00036,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,High
DYN-FIN-00037,Dynamics365,finance,Search Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00038,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00039,Dynamics365,finance,Edit Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00040,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00041,Dynamics365,finance,Restore Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00042,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00043,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00044,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00045,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00046,Dynamics365,finance,Validate Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-FIN-00047,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DYN-FIN-00048,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DYN-FIN-00049,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-FIN-00050,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Medium
DYN-FIN-00051,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-FIN-00052,Dynamics365,finance,Escalate Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00053,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,High
DYN-FIN-00054,Dynamics365,finance,Validate Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00055,Dynamics365,finance,Reject Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Medium
DYN-FIN-00056,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00057,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00058,Dynamics365,finance,Validate Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00059,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00060,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00061,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00062,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00063,Dynamics365,finance,Route Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Medium
DYN-FIN-00064,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00065,Dynamics365,finance,Archive Dynamics365 finance,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-FIN-00066,Dynamics365,finance,Validate Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00067,Dynamics365,finance,Update Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Low
DYN-FIN-00068,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00069,Dynamics365,finance,Clone Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00070,Dynamics365,finance,Delete Dynamics365 finance,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-FIN-00071,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-FIN-00072,Dynamics365,finance,Submit Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Medium
DYN-FIN-00073,Dynamics365,finance,Approve Dynamics365 finance,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-FIN-00074,Dynamics365,finance,Edit Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00075,Dynamics365,finance,Clone Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-FIN-00076,Dynamics365,finance,Create Dynamics365 finance,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
