Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
DYN-SAL-00001,Dynamics365,sales,Edit Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-SAL-00002,Dynamics365,sales,Edit Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-SAL-00003,Dynamics365,sales,Create Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,High
DYN-SAL-00004,Dynamics365,sales,Submit Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-SAL-00005,Dynamics365,sales,Escalate Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-SAL-00006,Dynamics365,sales,Search Dynamics365 sales,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-SAL-00007,Dynamics365,sales,Approve Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-SAL-00008,Dynamics365,sales,Update Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-SAL-00009,Dynamics365,sales,Approve Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,Low
DYN-SAL-00010,Dynamics365,sales,Search Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Low
DYN-SAL-00011,Dynamics365,sales,Create Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-SAL-00012,Dynamics365,sales,Edit Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-SAL-00013,Dynamics365,sales,Route Dynamics365 sales,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,High
DYN-SAL-00014,Dynamics365,sales,Submit Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-SAL-00015,Dynamics365,sales,Search Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-SAL-00016,Dynamics365,sales,Delete Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-SAL-00017,Dynamics365,sales,Archive Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,Low
DYN-SAL-00018,Dynamics365,sales,Escalate Dynamics365 sales,Dynamics365 test data ready,Create record > route approval > verify status,Success,High
DYN-SAL-00019,Dynamics365,sales,Search Dynamics365 sales,Dynamics365 test data ready,Open module > perform action > validate result,Success,Medium
DYN-SAL-00020,Dynamics365,sales,Archive Dynamics365 sales,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
DYN-SAL-00021,Dynamics365,sales,Escalate Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,Medium
DYN-SAL-00022,Dynamics365,sales,Delete Dynamics365 sales,Dynamics365 test data ready,Submit transaction > sync system > reconcile report,Success,High
DYN-SAL-00023,Dynamics365,sales,Edit Dynamics365 sales,Dynamics365 test data ready,Initiate integration > check queue > confirm completion,Success,Medium
