Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
EPI-CRM-00001,Epicor,crm,Search Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-CRM-00002,Epicor,crm,Submit Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-CRM-00003,Epicor,crm,Reject Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-CRM-00004,Epicor,crm,Reject Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-CRM-00005,Epicor,crm,Approve Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-CRM-00006,Epicor,crm,Submit Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-CRM-00007,Epicor,crm,Clone Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-CRM-00008,Epicor,crm,Validate Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-CRM-00009,Epicor,crm,Reject Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-CRM-00010,Epicor,crm,Approve Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-CRM-00011,Epicor,crm,Route Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-CRM-00012,Epicor,crm,Archive Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-CRM-00013,Epicor,crm,Create Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-CRM-00014,Epicor,crm,Validate Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-CRM-00015,Epicor,crm,Edit Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-CRM-00016,Epicor,crm,Create Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-CRM-00017,Epicor,crm,Create Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-CRM-00018,Epicor,crm,Search Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-CRM-00019,Epicor,crm,Validate Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-CRM-00020,Epicor,crm,Restore Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-CRM-00021,Epicor,crm,Submit Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-CRM-00022,Epicor,crm,Reject Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-CRM-00023,Epicor,crm,Approve Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-CRM-00024,Epicor,crm,Route Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-CRM-00025,Epicor,crm,Restore Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-CRM-00026,Epicor,crm,Edit Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-CRM-00027,Epicor,crm,Approve Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-CRM-00028,Epicor,crm,Search Epicor crm,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-CRM-00029,Epicor,crm,Approve Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-CRM-00030,Epicor,crm,Delete Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-CRM-00031,Epicor,crm,Approve Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-CRM-00032,Epicor,crm,Create Epicor crm,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-CRM-00033,Epicor,crm,Edit Epicor crm,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-CRM-00034,Epicor,crm,Escalate Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-CRM-00035,Epicor,crm,Restore Epicor crm,Epicor test data ready,Create record > route approval > verify status,Success,Medium
