Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
EPI-DIS-00001,Epicor,distribution,Restore Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-DIS-00002,Epicor,distribution,Escalate Epicor distribution,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-DIS-00003,Epicor,distribution,Validate Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-DIS-00004,Epicor,distribution,Submit Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-DIS-00005,Epicor,distribution,Reject Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-DIS-00006,Epicor,distribution,Restore Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-DIS-00007,Epicor,distribution,Reject Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-DIS-00008,Epicor,distribution,Approve Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-DIS-00009,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-DIS-00010,Epicor,distribution,Delete Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-DIS-00011,Epicor,distribution,Reject Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-DIS-00012,Epicor,distribution,Restore Epicor distribution,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-DIS-00013,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-DIS-00014,Epicor,distribution,Route Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-DIS-00015,Epicor,distribution,Submit Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-DIS-00016,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-DIS-00017,Epicor,distribution,Restore Epicor distribution,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-DIS-00018,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-DIS-00019,Epicor,distribution,Archive Epicor distribution,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-DIS-00020,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-DIS-00021,Epicor,distribution,Update Epicor distribution,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-DIS-00022,Epicor,distribution,Clone Epicor distribution,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
