Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
EPI-FIN-00001,Epicor,finance,Update Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-FIN-00002,Epicor,finance,Update Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-FIN-00003,Epicor,finance,Create Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-FIN-00004,Epicor,finance,Approve Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-FIN-00005,Epicor,finance,Restore Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-FIN-00006,Epicor,finance,Route Epicor finance,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-FIN-00007,Epicor,finance,Reject Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-FIN-00008,Epicor,finance,Update Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-FIN-00009,Epicor,finance,Create Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-FIN-00010,Epicor,finance,Update Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-FIN-00011,Epicor,finance,Create Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-FIN-00012,Epicor,finance,Route Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-FIN-00013,Epicor,finance,Archive Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-FIN-00014,Epicor,finance,Approve Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-FIN-00015,Epicor,finance,Validate Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-FIN-00016,Epicor,finance,Delete Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-FIN-00017,Epicor,finance,Update Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-FIN-00018,Epicor,finance,Archive Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-FIN-00019,Epicor,finance,Clone Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-FIN-00020,Epicor,finance,Archive Epicor finance,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-FIN-00021,Epicor,finance,Create Epicor finance,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-FIN-00022,Epicor,finance,Validate Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-FIN-00023,Epicor,finance,Edit Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-FIN-00024,Epicor,finance,Approve Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-FIN-00025,Epicor,finance,Edit Epicor finance,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-FIN-00026,Epicor,finance,Archive Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-FIN-00027,Epicor,finance,Route Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-FIN-00028,Epicor,finance,Update Epicor finance,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-FIN-00029,Epicor,finance,Submit Epicor finance,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-FIN-00030,Epicor,finance,Reject Epicor finance,Epicor test data ready,Open module > perform action > validate result,Success,Medium
