Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
EPI-MAN-00001,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00002,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00003,Epicor,manufacturing,Validate Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00004,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-MAN-00005,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00006,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00007,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00008,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-MAN-00009,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00010,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00011,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00012,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00013,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00014,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00015,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00016,Epicor,manufacturing,Validate Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00017,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00018,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00019,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00020,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00021,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00022,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00023,Epicor,manufacturing,Approve Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00024,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00025,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00026,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00027,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00028,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00029,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00030,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00031,Epicor,manufacturing,Validate Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00032,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00033,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00034,Epicor,manufacturing,Update Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00035,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00036,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00037,Epicor,manufacturing,Approve Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00038,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00039,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00040,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00041,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00042,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00043,Epicor,manufacturing,Update Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00044,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00045,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00046,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00047,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00048,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00049,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-MAN-00050,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00051,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-MAN-00052,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00053,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00054,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00055,Epicor,manufacturing,Validate Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00056,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00057,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00058,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00059,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00060,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00061,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00062,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00063,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00064,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00065,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00066,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00067,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00068,Epicor,manufacturing,Approve Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00069,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00070,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00071,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00072,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00073,Epicor,manufacturing,Approve Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00074,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00075,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00076,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00077,Epicor,manufacturing,Approve Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00078,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-MAN-00079,Epicor,manufacturing,Validate Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00080,Epicor,manufacturing,Update Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00081,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00082,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00083,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00084,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00085,Epicor,manufacturing,Update Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00086,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00087,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-MAN-00088,Epicor,manufacturing,Route Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-MAN-00089,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00090,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00091,Epicor,manufacturing,Delete Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-MAN-00092,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00093,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00094,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-MAN-00095,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00096,Epicor,manufacturing,Escalate Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00097,Epicor,manufacturing,Search Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00098,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00099,Epicor,manufacturing,Edit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00100,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-MAN-00101,Epicor,manufacturing,Create Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00102,Epicor,manufacturing,Restore Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00103,Epicor,manufacturing,Archive Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-MAN-00104,Epicor,manufacturing,Update Epicor manufacturing,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-MAN-00105,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-MAN-00106,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-MAN-00107,Epicor,manufacturing,Reject Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-MAN-00108,Epicor,manufacturing,Submit Epicor manufacturing,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-MAN-00109,Epicor,manufacturing,Clone Epicor manufacturing,Epicor test data ready,Create record > route approval > verify status,Success,Low
