Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
EPI-QUA-00001,Epicor,quality,Approve Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00002,Epicor,quality,Create Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00003,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00004,Epicor,quality,Archive Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00005,Epicor,quality,Archive Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00006,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00007,Epicor,quality,Delete Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00008,Epicor,quality,Archive Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00009,Epicor,quality,Edit Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00010,Epicor,quality,Archive Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-QUA-00011,Epicor,quality,Edit Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00012,Epicor,quality,Reject Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00013,Epicor,quality,Validate Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-QUA-00014,Epicor,quality,Search Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00015,Epicor,quality,Approve Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00016,Epicor,quality,Validate Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-QUA-00017,Epicor,quality,Approve Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00018,Epicor,quality,Archive Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00019,Epicor,quality,Create Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00020,Epicor,quality,Archive Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00021,Epicor,quality,Update Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-QUA-00022,Epicor,quality,Archive Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00023,Epicor,quality,Approve Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00024,Epicor,quality,Route Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00025,Epicor,quality,Clone Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00026,Epicor,quality,Edit Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-QUA-00027,Epicor,quality,Approve Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00028,Epicor,quality,Route Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00029,Epicor,quality,Restore Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00030,Epicor,quality,Submit Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00031,Epicor,quality,Validate Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00032,Epicor,quality,Restore Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00033,Epicor,quality,Archive Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00034,Epicor,quality,Archive Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00035,Epicor,quality,Clone Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00036,Epicor,quality,Reject Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00037,Epicor,quality,Submit Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-QUA-00038,Epicor,quality,Approve Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00039,Epicor,quality,Approve Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-QUA-00040,Epicor,quality,Search Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00041,Epicor,quality,Delete Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00042,Epicor,quality,Restore Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00043,Epicor,quality,Create Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00044,Epicor,quality,Search Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00045,Epicor,quality,Search Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00046,Epicor,quality,Search Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00047,Epicor,quality,Archive Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00048,Epicor,quality,Delete Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00049,Epicor,quality,Edit Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Medium
EPI-QUA-00050,Epicor,quality,Clone Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00051,Epicor,quality,Search Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00052,Epicor,quality,Restore Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00053,Epicor,quality,Clone Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00054,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00055,Epicor,quality,Create Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00056,Epicor,quality,Clone Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00057,Epicor,quality,Edit Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00058,Epicor,quality,Edit Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00059,Epicor,quality,Approve Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,High
EPI-QUA-00060,Epicor,quality,Edit Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00061,Epicor,quality,Create Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00062,Epicor,quality,Create Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-QUA-00063,Epicor,quality,Create Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00064,Epicor,quality,Delete Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00065,Epicor,quality,Update Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-QUA-00066,Epicor,quality,Approve Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00067,Epicor,quality,Validate Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,High
EPI-QUA-00068,Epicor,quality,Submit Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00069,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-QUA-00070,Epicor,quality,Validate Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00071,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00072,Epicor,quality,Validate Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Low
EPI-QUA-00073,Epicor,quality,Route Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Low
EPI-QUA-00074,Epicor,quality,Clone Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,Low
EPI-QUA-00075,Epicor,quality,Create Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00076,Epicor,quality,Edit Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00077,Epicor,quality,Restore Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00078,Epicor,quality,Update Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
EPI-QUA-00079,Epicor,quality,Archive Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00080,Epicor,quality,Escalate Epicor quality,Epicor test data ready,Initiate integration > check queue > confirm completion,Success,High
EPI-QUA-00081,Epicor,quality,Reject Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Low
EPI-QUA-00082,Epicor,quality,Create Epicor quality,Epicor test data ready,Open module > perform action > validate result,Success,Medium
EPI-QUA-00083,Epicor,quality,Update Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00084,Epicor,quality,Update Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,Medium
EPI-QUA-00085,Epicor,quality,Route Epicor quality,Epicor test data ready,Submit transaction > sync system > reconcile report,Success,High
EPI-QUA-00086,Epicor,quality,Edit Epicor quality,Epicor test data ready,Create record > route approval > verify status,Success,Medium
