Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
GOO-GMA-00001,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00002,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00003,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00004,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00005,GoogleWorkspace,gmail,Restore GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00006,GoogleWorkspace,gmail,Create GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00007,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-GMA-00008,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00009,GoogleWorkspace,gmail,Escalate GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00010,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00011,GoogleWorkspace,gmail,Restore GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00012,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-GMA-00013,GoogleWorkspace,gmail,Delete GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-GMA-00014,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00015,GoogleWorkspace,gmail,Route GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-GMA-00016,GoogleWorkspace,gmail,Validate GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00017,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00018,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00019,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-GMA-00020,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-GMA-00021,GoogleWorkspace,gmail,Validate GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-GMA-00022,GoogleWorkspace,gmail,Update GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00023,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00024,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-GMA-00025,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-GMA-00026,GoogleWorkspace,gmail,Restore GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00027,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-GMA-00028,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00029,GoogleWorkspace,gmail,Delete GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-GMA-00030,GoogleWorkspace,gmail,Route GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-GMA-00031,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00032,GoogleWorkspace,gmail,Validate GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00033,GoogleWorkspace,gmail,Route GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00034,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-GMA-00035,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-GMA-00036,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00037,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-GMA-00038,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00039,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-GMA-00040,GoogleWorkspace,gmail,Create GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-GMA-00041,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-GMA-00042,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00043,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00044,GoogleWorkspace,gmail,Submit GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-GMA-00045,GoogleWorkspace,gmail,Search GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-GMA-00046,GoogleWorkspace,gmail,Create GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-GMA-00047,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-GMA-00048,GoogleWorkspace,gmail,Delete GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-GMA-00049,GoogleWorkspace,gmail,Validate GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-GMA-00050,GoogleWorkspace,gmail,Approve GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-GMA-00051,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-GMA-00052,GoogleWorkspace,gmail,Edit GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-GMA-00053,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-GMA-00054,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-GMA-00055,GoogleWorkspace,gmail,Archive GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-GMA-00056,GoogleWorkspace,gmail,Clone GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-GMA-00057,GoogleWorkspace,gmail,Reject GoogleWorkspace gmail,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
