Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
GOO-MEE-00001,GoogleWorkspace,meet,Update GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-MEE-00002,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00003,GoogleWorkspace,meet,Update GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-MEE-00004,GoogleWorkspace,meet,Reject GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-MEE-00005,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-MEE-00006,GoogleWorkspace,meet,Clone GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00007,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-MEE-00008,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-MEE-00009,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-MEE-00010,GoogleWorkspace,meet,Submit GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-MEE-00011,GoogleWorkspace,meet,Search GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00012,GoogleWorkspace,meet,Reject GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-MEE-00013,GoogleWorkspace,meet,Archive GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-MEE-00014,GoogleWorkspace,meet,Escalate GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00015,GoogleWorkspace,meet,Update GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-MEE-00016,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00017,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00018,GoogleWorkspace,meet,Approve GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00019,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-MEE-00020,GoogleWorkspace,meet,Search GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-MEE-00021,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-MEE-00022,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-MEE-00023,GoogleWorkspace,meet,Archive GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-MEE-00024,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-MEE-00025,GoogleWorkspace,meet,Update GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00026,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00027,GoogleWorkspace,meet,Archive GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-MEE-00028,GoogleWorkspace,meet,Reject GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-MEE-00029,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00030,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-MEE-00031,GoogleWorkspace,meet,Update GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-MEE-00032,GoogleWorkspace,meet,Restore GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00033,GoogleWorkspace,meet,Escalate GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00034,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00035,GoogleWorkspace,meet,Approve GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00036,GoogleWorkspace,meet,Escalate GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00037,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00038,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00039,GoogleWorkspace,meet,Validate GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00040,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-MEE-00041,GoogleWorkspace,meet,Search GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-MEE-00042,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00043,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00044,GoogleWorkspace,meet,Escalate GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00045,GoogleWorkspace,meet,Create GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00046,GoogleWorkspace,meet,Clone GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-MEE-00047,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00048,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-MEE-00049,GoogleWorkspace,meet,Clone GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-MEE-00050,GoogleWorkspace,meet,Submit GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00051,GoogleWorkspace,meet,Restore GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-MEE-00052,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-MEE-00053,GoogleWorkspace,meet,Search GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-MEE-00054,GoogleWorkspace,meet,Approve GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-MEE-00055,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00056,GoogleWorkspace,meet,Search GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00057,GoogleWorkspace,meet,Edit GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-MEE-00058,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00059,GoogleWorkspace,meet,Restore GoogleWorkspace meet,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-MEE-00060,GoogleWorkspace,meet,Archive GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00061,GoogleWorkspace,meet,Validate GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00062,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-MEE-00063,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-MEE-00064,GoogleWorkspace,meet,Approve GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-MEE-00065,GoogleWorkspace,meet,Restore GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-MEE-00066,GoogleWorkspace,meet,Delete GoogleWorkspace meet,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-MEE-00067,GoogleWorkspace,meet,Archive GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-MEE-00068,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-MEE-00069,GoogleWorkspace,meet,Route GoogleWorkspace meet,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
