Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
HUB-CRM-00001,HubSpot,crm,Search HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-CRM-00002,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00003,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-CRM-00004,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00005,HubSpot,crm,Delete HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-CRM-00006,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00007,HubSpot,crm,Search HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00008,HubSpot,crm,Archive HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00009,HubSpot,crm,Approve HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-CRM-00010,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00011,HubSpot,crm,Reject HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00012,HubSpot,crm,Reject HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00013,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00014,HubSpot,crm,Edit HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00015,HubSpot,crm,Reject HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00016,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00017,HubSpot,crm,Submit HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00018,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00019,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-CRM-00020,HubSpot,crm,Edit HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00021,HubSpot,crm,Archive HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00022,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00023,HubSpot,crm,Escalate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00024,HubSpot,crm,Approve HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-CRM-00025,HubSpot,crm,Edit HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00026,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00027,HubSpot,crm,Approve HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00028,HubSpot,crm,Approve HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00029,HubSpot,crm,Submit HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00030,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-CRM-00031,HubSpot,crm,Search HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-CRM-00032,HubSpot,crm,Submit HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-CRM-00033,HubSpot,crm,Edit HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00034,HubSpot,crm,Search HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00035,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-CRM-00036,HubSpot,crm,Edit HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00037,HubSpot,crm,Escalate HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00038,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-CRM-00039,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-CRM-00040,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00041,HubSpot,crm,Delete HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00042,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00043,HubSpot,crm,Archive HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-CRM-00044,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00045,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00046,HubSpot,crm,Route HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00047,HubSpot,crm,Create HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-CRM-00048,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00049,HubSpot,crm,Route HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00050,HubSpot,crm,Clone HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00051,HubSpot,crm,Create HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00052,HubSpot,crm,Submit HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-CRM-00053,HubSpot,crm,Escalate HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00054,HubSpot,crm,Approve HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00055,HubSpot,crm,Search HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-CRM-00056,HubSpot,crm,Reject HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00057,HubSpot,crm,Validate HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-CRM-00058,HubSpot,crm,Clone HubSpot crm,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-CRM-00059,HubSpot,crm,Clone HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-CRM-00060,HubSpot,crm,Archive HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00061,HubSpot,crm,Submit HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-CRM-00062,HubSpot,crm,Create HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-CRM-00063,HubSpot,crm,Archive HubSpot crm,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-CRM-00064,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-CRM-00065,HubSpot,crm,Update HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-CRM-00066,HubSpot,crm,Restore HubSpot crm,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
