Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
HUB-OPE-00001,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-OPE-00002,HubSpot,operations,Reject HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-OPE-00003,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-OPE-00004,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-OPE-00005,HubSpot,operations,Reject HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-OPE-00006,HubSpot,operations,Approve HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-OPE-00007,HubSpot,operations,Clone HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-OPE-00008,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-OPE-00009,HubSpot,operations,Archive HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-OPE-00010,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-OPE-00011,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-OPE-00012,HubSpot,operations,Reject HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-OPE-00013,HubSpot,operations,Create HubSpot operations,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-OPE-00014,HubSpot,operations,Approve HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-OPE-00015,HubSpot,operations,Restore HubSpot operations,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-OPE-00016,HubSpot,operations,Edit HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-OPE-00017,HubSpot,operations,Search HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-OPE-00018,HubSpot,operations,Submit HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-OPE-00019,HubSpot,operations,Escalate HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-OPE-00020,HubSpot,operations,Submit HubSpot operations,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-OPE-00021,HubSpot,operations,Search HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-OPE-00022,HubSpot,operations,Route HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-OPE-00023,HubSpot,operations,Restore HubSpot operations,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-OPE-00024,HubSpot,operations,Delete HubSpot operations,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-OPE-00025,HubSpot,operations,Approve HubSpot operations,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-OPE-00026,HubSpot,operations,Create HubSpot operations,HubSpot test data ready,Create record > route approval > verify status,Success,Low
