Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
HUB-SAL-00001,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-SAL-00002,HubSpot,sales,Archive HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Medium
HUB-SAL-00003,HubSpot,sales,Edit HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-SAL-00004,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-SAL-00005,HubSpot,sales,Validate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00006,HubSpot,sales,Search HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Medium
HUB-SAL-00007,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-SAL-00008,HubSpot,sales,Search HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-SAL-00009,HubSpot,sales,Update HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00010,HubSpot,sales,Create HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-SAL-00011,HubSpot,sales,Validate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00012,HubSpot,sales,Edit HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-SAL-00013,HubSpot,sales,Reject HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-SAL-00014,HubSpot,sales,Clone HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00015,HubSpot,sales,Clone HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-SAL-00016,HubSpot,sales,Restore HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-SAL-00017,HubSpot,sales,Archive HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-SAL-00018,HubSpot,sales,Archive HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-SAL-00019,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00020,HubSpot,sales,Delete HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Low
HUB-SAL-00021,HubSpot,sales,Approve HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-SAL-00022,HubSpot,sales,Reject HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00023,HubSpot,sales,Reject HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-SAL-00024,HubSpot,sales,Submit HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-SAL-00025,HubSpot,sales,Update HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-SAL-00026,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-SAL-00027,HubSpot,sales,Escalate HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-SAL-00028,HubSpot,sales,Clone HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,High
HUB-SAL-00029,HubSpot,sales,Archive HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,Medium
HUB-SAL-00030,HubSpot,sales,Route HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-SAL-00031,HubSpot,sales,Validate HubSpot sales,HubSpot test data ready,Create record > route approval > verify status,Success,Medium
HUB-SAL-00032,HubSpot,sales,Search HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-SAL-00033,HubSpot,sales,Submit HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-SAL-00034,HubSpot,sales,Update HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,Low
HUB-SAL-00035,HubSpot,sales,Create HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,Low
HUB-SAL-00036,HubSpot,sales,Edit HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,High
HUB-SAL-00037,HubSpot,sales,Restore HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
HUB-SAL-00038,HubSpot,sales,Route HubSpot sales,HubSpot test data ready,Initiate integration > check queue > confirm completion,Success,High
HUB-SAL-00039,HubSpot,sales,Search HubSpot sales,HubSpot test data ready,Open module > perform action > validate result,Success,High
HUB-SAL-00040,HubSpot,sales,Update HubSpot sales,HubSpot test data ready,Submit transaction > sync system > reconcile report,Success,Low
