Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
IBM-INV-00001,IBMMaximo,inventory,Escalate IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00002,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-INV-00003,IBMMaximo,inventory,Restore IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00004,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00005,IBMMaximo,inventory,Submit IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00006,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,High
IBM-INV-00007,IBMMaximo,inventory,Create IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00008,IBMMaximo,inventory,Restore IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00009,IBMMaximo,inventory,Submit IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00010,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00011,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00012,IBMMaximo,inventory,Route IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,High
IBM-INV-00013,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Medium
IBM-INV-00014,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00015,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00016,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-INV-00017,IBMMaximo,inventory,Route IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00018,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,High
IBM-INV-00019,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00020,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00021,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-INV-00022,IBMMaximo,inventory,Escalate IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00023,IBMMaximo,inventory,Restore IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00024,IBMMaximo,inventory,Search IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Medium
IBM-INV-00025,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,High
IBM-INV-00026,IBMMaximo,inventory,Search IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00027,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00028,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-INV-00029,IBMMaximo,inventory,Create IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-INV-00030,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00031,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00032,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00033,IBMMaximo,inventory,Approve IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00034,IBMMaximo,inventory,Approve IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-INV-00035,IBMMaximo,inventory,Archive IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-INV-00036,IBMMaximo,inventory,Create IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00037,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00038,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-INV-00039,IBMMaximo,inventory,Approve IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
IBM-INV-00040,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00041,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-INV-00042,IBMMaximo,inventory,Archive IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00043,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00044,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00045,IBMMaximo,inventory,Route IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00046,IBMMaximo,inventory,Create IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
IBM-INV-00047,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00048,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00049,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00050,IBMMaximo,inventory,Restore IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00051,IBMMaximo,inventory,Approve IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00052,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00053,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,High
IBM-INV-00054,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00055,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
IBM-INV-00056,IBMMaximo,inventory,Create IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00057,IBMMaximo,inventory,Archive IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00058,IBMMaximo,inventory,Edit IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-INV-00059,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00060,IBMMaximo,inventory,Validate IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-INV-00061,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-INV-00062,IBMMaximo,inventory,Escalate IBMMaximo inventory,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-INV-00063,IBMMaximo,inventory,Reject IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00064,IBMMaximo,inventory,Escalate IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Low
IBM-INV-00065,IBMMaximo,inventory,Update IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00066,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-INV-00067,IBMMaximo,inventory,Route IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
IBM-INV-00068,IBMMaximo,inventory,Clone IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-INV-00069,IBMMaximo,inventory,Delete IBMMaximo inventory,IBMMaximo test data ready,Create record > route approval > verify status,Success,Medium
