Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
IBM-SER-00001,IBMMaximo,service_requests,Search IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00002,IBMMaximo,service_requests,Update IBMMaximo service_requests,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
IBM-SER-00003,IBMMaximo,service_requests,Validate IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-SER-00004,IBMMaximo,service_requests,Clone IBMMaximo service_requests,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
IBM-SER-00005,IBMMaximo,service_requests,Escalate IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00006,IBMMaximo,service_requests,Delete IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00007,IBMMaximo,service_requests,Archive IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-SER-00008,IBMMaximo,service_requests,Escalate IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
IBM-SER-00009,IBMMaximo,service_requests,Route IBMMaximo service_requests,IBMMaximo test data ready,Open module > perform action > validate result,Success,Low
IBM-SER-00010,IBMMaximo,service_requests,Edit IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-SER-00011,IBMMaximo,service_requests,Restore IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00012,IBMMaximo,service_requests,Reject IBMMaximo service_requests,IBMMaximo test data ready,Open module > perform action > validate result,Success,Medium
IBM-SER-00013,IBMMaximo,service_requests,Search IBMMaximo service_requests,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-SER-00014,IBMMaximo,service_requests,Escalate IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00015,IBMMaximo,service_requests,Escalate IBMMaximo service_requests,IBMMaximo test data ready,Open module > perform action > validate result,Success,High
IBM-SER-00016,IBMMaximo,service_requests,Edit IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,Low
IBM-SER-00017,IBMMaximo,service_requests,Reject IBMMaximo service_requests,IBMMaximo test data ready,Submit transaction > sync system > reconcile report,Success,High
IBM-SER-00018,IBMMaximo,service_requests,Restore IBMMaximo service_requests,IBMMaximo test data ready,Create record > route approval > verify status,Success,High
IBM-SER-00019,IBMMaximo,service_requests,Create IBMMaximo service_requests,IBMMaximo test data ready,Initiate integration > check queue > confirm completion,Success,Low
