Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-ASS-00001,InforCloudSuite,assets,Route InforCloudSuite assets,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-ASS-00002,InforCloudSuite,assets,Restore InforCloudSuite assets,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-ASS-00003,InforCloudSuite,assets,Update InforCloudSuite assets,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-ASS-00004,InforCloudSuite,assets,Restore InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-ASS-00005,InforCloudSuite,assets,Submit InforCloudSuite assets,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-ASS-00006,InforCloudSuite,assets,Archive InforCloudSuite assets,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-ASS-00007,InforCloudSuite,assets,Escalate InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-ASS-00008,InforCloudSuite,assets,Clone InforCloudSuite assets,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-ASS-00009,InforCloudSuite,assets,Escalate InforCloudSuite assets,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-ASS-00010,InforCloudSuite,assets,Reject InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-ASS-00011,InforCloudSuite,assets,Route InforCloudSuite assets,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-ASS-00012,InforCloudSuite,assets,Submit InforCloudSuite assets,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-ASS-00013,InforCloudSuite,assets,Escalate InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-ASS-00014,InforCloudSuite,assets,Clone InforCloudSuite assets,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-ASS-00015,InforCloudSuite,assets,Archive InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-ASS-00016,InforCloudSuite,assets,Validate InforCloudSuite assets,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-ASS-00017,InforCloudSuite,assets,Clone InforCloudSuite assets,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
