Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-FIN-00001,InforCloudSuite,finance,Escalate InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-FIN-00002,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-FIN-00003,InforCloudSuite,finance,Edit InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-FIN-00004,InforCloudSuite,finance,Delete InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00005,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-FIN-00006,InforCloudSuite,finance,Archive InforCloudSuite finance,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-FIN-00007,InforCloudSuite,finance,Submit InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00008,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-FIN-00009,InforCloudSuite,finance,Create InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-FIN-00010,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00011,InforCloudSuite,finance,Restore InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-FIN-00012,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-FIN-00013,InforCloudSuite,finance,Archive InforCloudSuite finance,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-FIN-00014,InforCloudSuite,finance,Submit InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00015,InforCloudSuite,finance,Reject InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-FIN-00016,InforCloudSuite,finance,Update InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-FIN-00017,InforCloudSuite,finance,Approve InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-FIN-00018,InforCloudSuite,finance,Delete InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-FIN-00019,InforCloudSuite,finance,Approve InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-FIN-00020,InforCloudSuite,finance,Approve InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-FIN-00021,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00022,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00023,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-FIN-00024,InforCloudSuite,finance,Reject InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-FIN-00025,InforCloudSuite,finance,Search InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00026,InforCloudSuite,finance,Edit InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00027,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00028,InforCloudSuite,finance,Update InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00029,InforCloudSuite,finance,Route InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-FIN-00030,InforCloudSuite,finance,Submit InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00031,InforCloudSuite,finance,Update InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-FIN-00032,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-FIN-00033,InforCloudSuite,finance,Create InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00034,InforCloudSuite,finance,Restore InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-FIN-00035,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-FIN-00036,InforCloudSuite,finance,Escalate InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-FIN-00037,InforCloudSuite,finance,Archive InforCloudSuite finance,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-FIN-00038,InforCloudSuite,finance,Update InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-FIN-00039,InforCloudSuite,finance,Update InforCloudSuite finance,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-FIN-00040,InforCloudSuite,finance,Clone InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-FIN-00041,InforCloudSuite,finance,Approve InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-FIN-00042,InforCloudSuite,finance,Route InforCloudSuite finance,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-FIN-00043,InforCloudSuite,finance,Validate InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-FIN-00044,InforCloudSuite,finance,Route InforCloudSuite finance,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
