Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-HR-00001,InforCloudSuite,hr,Search InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-HR-00002,InforCloudSuite,hr,Route InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-HR-00003,InforCloudSuite,hr,Reject InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-HR-00004,InforCloudSuite,hr,Archive InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-HR-00005,InforCloudSuite,hr,Approve InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-HR-00006,InforCloudSuite,hr,Delete InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-HR-00007,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00008,InforCloudSuite,hr,Approve InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-HR-00009,InforCloudSuite,hr,Submit InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-HR-00010,InforCloudSuite,hr,Edit InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-HR-00011,InforCloudSuite,hr,Delete InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-HR-00012,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-HR-00013,InforCloudSuite,hr,Submit InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-HR-00014,InforCloudSuite,hr,Clone InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-HR-00015,InforCloudSuite,hr,Reject InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-HR-00016,InforCloudSuite,hr,Create InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-HR-00017,InforCloudSuite,hr,Route InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-HR-00018,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-HR-00019,InforCloudSuite,hr,Submit InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-HR-00020,InforCloudSuite,hr,Submit InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-HR-00021,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-HR-00022,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-HR-00023,InforCloudSuite,hr,Search InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-HR-00024,InforCloudSuite,hr,Clone InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-HR-00025,InforCloudSuite,hr,Delete InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-HR-00026,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-HR-00027,InforCloudSuite,hr,Search InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00028,InforCloudSuite,hr,Restore InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-HR-00029,InforCloudSuite,hr,Create InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00030,InforCloudSuite,hr,Approve InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-HR-00031,InforCloudSuite,hr,Escalate InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-HR-00032,InforCloudSuite,hr,Reject InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-HR-00033,InforCloudSuite,hr,Search InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-HR-00034,InforCloudSuite,hr,Route InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-HR-00035,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-HR-00036,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-HR-00037,InforCloudSuite,hr,Restore InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-HR-00038,InforCloudSuite,hr,Update InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00039,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00040,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-HR-00041,InforCloudSuite,hr,Approve InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-HR-00042,InforCloudSuite,hr,Restore InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-HR-00043,InforCloudSuite,hr,Clone InforCloudSuite hr,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-HR-00044,InforCloudSuite,hr,Create InforCloudSuite hr,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-HR-00045,InforCloudSuite,hr,Archive InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00046,InforCloudSuite,hr,Escalate InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-HR-00047,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-HR-00048,InforCloudSuite,hr,Validate InforCloudSuite hr,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-HR-00049,InforCloudSuite,hr,Delete InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-HR-00050,InforCloudSuite,hr,Archive InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-HR-00051,InforCloudSuite,hr,Submit InforCloudSuite hr,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
