Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-MAN-00001,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-MAN-00002,InforCloudSuite,manufacturing,Delete InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-MAN-00003,InforCloudSuite,manufacturing,Validate InforCloudSuite manufacturing,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-MAN-00004,InforCloudSuite,manufacturing,Delete InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-MAN-00005,InforCloudSuite,manufacturing,Clone InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-MAN-00006,InforCloudSuite,manufacturing,Reject InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00007,InforCloudSuite,manufacturing,Route InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-MAN-00008,InforCloudSuite,manufacturing,Delete InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-MAN-00009,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-MAN-00010,InforCloudSuite,manufacturing,Reject InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-MAN-00011,InforCloudSuite,manufacturing,Validate InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-MAN-00012,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-MAN-00013,InforCloudSuite,manufacturing,Route InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-MAN-00014,InforCloudSuite,manufacturing,Restore InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-MAN-00015,InforCloudSuite,manufacturing,Restore InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-MAN-00016,InforCloudSuite,manufacturing,Edit InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-MAN-00017,InforCloudSuite,manufacturing,Validate InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00018,InforCloudSuite,manufacturing,Clone InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-MAN-00019,InforCloudSuite,manufacturing,Submit InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00020,InforCloudSuite,manufacturing,Restore InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-MAN-00021,InforCloudSuite,manufacturing,Submit InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-MAN-00022,InforCloudSuite,manufacturing,Archive InforCloudSuite manufacturing,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-MAN-00023,InforCloudSuite,manufacturing,Reject InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00024,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-MAN-00025,InforCloudSuite,manufacturing,Delete InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-MAN-00026,InforCloudSuite,manufacturing,Route InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00027,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-MAN-00028,InforCloudSuite,manufacturing,Archive InforCloudSuite manufacturing,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-MAN-00029,InforCloudSuite,manufacturing,Approve InforCloudSuite manufacturing,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-MAN-00030,InforCloudSuite,manufacturing,Escalate InforCloudSuite manufacturing,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-MAN-00031,InforCloudSuite,manufacturing,Create InforCloudSuite manufacturing,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-MAN-00032,InforCloudSuite,manufacturing,Archive InforCloudSuite manufacturing,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
