Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-PRO-00001,InforCloudSuite,projects,Edit InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-PRO-00002,InforCloudSuite,projects,Delete InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-PRO-00003,InforCloudSuite,projects,Search InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-PRO-00004,InforCloudSuite,projects,Delete InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-PRO-00005,InforCloudSuite,projects,Escalate InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-PRO-00006,InforCloudSuite,projects,Restore InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-PRO-00007,InforCloudSuite,projects,Escalate InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-PRO-00008,InforCloudSuite,projects,Approve InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-PRO-00009,InforCloudSuite,projects,Clone InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-PRO-00010,InforCloudSuite,projects,Escalate InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-PRO-00011,InforCloudSuite,projects,Submit InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-PRO-00012,InforCloudSuite,projects,Clone InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-PRO-00013,InforCloudSuite,projects,Delete InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-PRO-00014,InforCloudSuite,projects,Restore InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Medium
INF-PRO-00015,InforCloudSuite,projects,Approve InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-PRO-00016,InforCloudSuite,projects,Create InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-PRO-00017,InforCloudSuite,projects,Restore InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-PRO-00018,InforCloudSuite,projects,Clone InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-PRO-00019,InforCloudSuite,projects,Search InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-PRO-00020,InforCloudSuite,projects,Clone InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-PRO-00021,InforCloudSuite,projects,Create InforCloudSuite projects,InforCloudSuite test data ready,Open module > perform action > validate result,Success,High
INF-PRO-00022,InforCloudSuite,projects,Search InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-PRO-00023,InforCloudSuite,projects,Approve InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Low
INF-PRO-00024,InforCloudSuite,projects,Edit InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-PRO-00025,InforCloudSuite,projects,Approve InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-PRO-00026,InforCloudSuite,projects,Reject InforCloudSuite projects,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-PRO-00027,InforCloudSuite,projects,Reject InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
INF-PRO-00028,InforCloudSuite,projects,Archive InforCloudSuite projects,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
INF-PRO-00029,InforCloudSuite,projects,Create InforCloudSuite projects,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
