Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
INF-SUP-00001,InforCloudSuite,supply_chain,Search InforCloudSuite supply_chain,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-SUP-00002,InforCloudSuite,supply_chain,Reject InforCloudSuite supply_chain,InforCloudSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
INF-SUP-00003,InforCloudSuite,supply_chain,Edit InforCloudSuite supply_chain,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
INF-SUP-00004,InforCloudSuite,supply_chain,Create InforCloudSuite supply_chain,InforCloudSuite test data ready,Create record > route approval > verify status,Success,High
INF-SUP-00005,InforCloudSuite,supply_chain,Approve InforCloudSuite supply_chain,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
INF-SUP-00006,InforCloudSuite,supply_chain,Create InforCloudSuite supply_chain,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-SUP-00007,InforCloudSuite,supply_chain,Update InforCloudSuite supply_chain,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-SUP-00008,InforCloudSuite,supply_chain,Archive InforCloudSuite supply_chain,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-SUP-00009,InforCloudSuite,supply_chain,Search InforCloudSuite supply_chain,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-SUP-00010,InforCloudSuite,supply_chain,Archive InforCloudSuite supply_chain,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
INF-SUP-00011,InforCloudSuite,supply_chain,Clone InforCloudSuite supply_chain,InforCloudSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
INF-SUP-00012,InforCloudSuite,supply_chain,Create InforCloudSuite supply_chain,InforCloudSuite test data ready,Create record > route approval > verify status,Success,Medium
INF-SUP-00013,InforCloudSuite,supply_chain,Archive InforCloudSuite supply_chain,InforCloudSuite test data ready,Open module > perform action > validate result,Success,Low
